,Time,Freq,Angle1,Angle2,Phase
122,107.38,1.1104,-0.275,0.961,-1.236
123,108.28,1.1073,-0.28,0.961,-1.241
124,109.18,1.107,-0.284,0.963,-1.2469999999999999
125,110.08,1.1055,-0.287,0.961,-1.248
126,111.0,1.1028,-0.276,0.961,-1.237
127,111.9,1.1019,-0.281,0.961,-1.242
128,112.8,1.1017,-0.287,0.961,-1.248
129,113.72,1.0997,-0.283,0.963,-1.246
130,114.64,1.0988,-0.276,0.961,-1.237
131,115.54,1.098,-0.289,0.961,-1.25
132,116.46,1.0973,-0.281,0.961,-1.242
133,117.36,1.0958,-0.291,0.961,-1.252
134,118.28,1.0963,-0.284,0.963,-1.2469999999999999
135,119.2,1.0963,-0.276,0.961,-1.237
136,120.1,1.0951,-0.287,0.961,-1.248
137,121.02,1.0953,-0.281,0.963,-1.244
138,121.92,1.0948,-0.292,0.961,-1.253
139,122.84,1.0925,-0.287,0.961,-1.248
140,123.76,1.0912,-0.284,0.963,-1.2469999999999999
141,124.68,1.0901,-0.286,0.961,-1.2469999999999999
142,125.6,1.089,-0.291,0.961,-1.252
143,126.52,1.0856,-0.289,0.963,-1.252
144,127.44,1.0842,-0.289,0.961,-1.25
145,128.36,1.0847,-0.294,0.961,-1.255
146,129.28,1.082,-0.292,0.961,-1.253
147,130.22,1.0814,-0.283,0.961,-1.244
148,131.14,1.0804,-0.291,0.963,-1.254
149,132.06,1.0791,-0.295,0.961,-1.256
150,133.0,1.079,-0.283,0.961,-1.244
151,133.92,1.0776,-0.291,0.961,-1.252
152,134.84,1.0778,-0.298,0.96,-1.258
153,135.78,1.0762,-0.289,0.963,-1.252
154,136.7,1.0757,-0.298,0.96,-1.258
155,137.64,1.0751,-0.289,0.963,-1.252
156,138.56,1.0746,-0.297,0.961,-1.258
157,139.5,1.0739,-0.291,0.963,-1.254
158,140.44,1.0731,-0.283,0.961,-1.244
159,141.36,1.0712,-0.295,0.961,-1.256
160,142.3,1.0708,-0.289,0.963,-1.252
161,143.24,1.0696,-0.281,0.961,-1.242
162,144.16,1.0689,-0.295,0.961,-1.256
163,145.1,1.0686,-0.292,0.963,-1.255
164,146.04,1.0673,-0.291,0.963,-1.254
165,146.98,1.0665,-0.287,0.961,-1.248
166,147.92,1.066,-0.286,0.961,-1.2469999999999999
167,148.86,1.0636,-0.284,0.961,-1.2449999999999999
168,149.8,1.0632,-0.287,0.961,-1.248
169,150.74,1.0626,-0.291,0.961,-1.252
170,151.68,1.0618,-0.292,0.961,-1.253
171,152.62,1.0606,-0.295,0.961,-1.256
172,153.56,1.0591,-0.298,0.961,-1.259
173,154.52,1.0588,-0.286,0.961,-1.2469999999999999
174,155.46,1.057,-0.291,0.961,-1.252
175,156.4,1.0567,-0.298,0.961,-1.259
176,157.36,1.0569,-0.286,0.961,-1.2469999999999999
