,Time,Freq,Angle1,Angle2,Phase
0,2.72,1.2522,-0.236,1.398,-1.634
1,3.52,1.2495,-0.236,1.398,-1.634
2,4.32,1.2474,-0.24,1.398,-1.638
3,5.12,1.2459,-0.239,1.398,-1.637
4,5.92,1.2449,-0.24,1.396,-1.636
5,6.74,1.2441,-0.232,1.396,-1.628
6,7.54,1.2435,-0.234,1.398,-1.632
7,8.34,1.243,-0.237,1.398,-1.6349999999999998
8,9.14,1.2426,-0.239,1.398,-1.637
9,9.94,1.2421,-0.242,1.396,-1.638
10,10.76,1.2415,-0.234,1.398,-1.632
11,11.56,1.2408,-0.239,1.398,-1.637
12,12.36,1.2399,-0.242,1.398,-1.64
13,13.18,1.2389,-0.237,1.398,-1.6349999999999998
14,13.98,1.2377,-0.242,1.398,-1.64
15,14.8,1.2357,-0.236,1.396,-1.632
16,15.6,1.2342,-0.243,1.398,-1.641
17,16.42,1.2329,-0.237,1.398,-1.6349999999999998
18,17.22,1.2315,-0.243,1.398,-1.641
19,18.04,1.2299,-0.24,1.398,-1.638
20,18.86,1.2309,-0.239,1.396,-1.6349999999999998
21,19.66,1.2307,-0.243,1.398,-1.641
22,20.48,1.2302,-0.24,1.398,-1.638
23,21.3,1.2282,-0.239,1.396,-1.6349999999999998
24,22.1,1.2279,-0.247,1.398,-1.645
25,22.92,1.2292,-0.243,1.398,-1.641
26,23.74,1.2273,-0.243,1.398,-1.641
27,24.56,1.2265,-0.239,1.396,-1.6349999999999998
28,25.36,1.227,-0.248,1.396,-1.644
29,26.18,1.2249,-0.247,1.398,-1.645
30,27.0,1.2231,-0.247,1.398,-1.645
31,27.82,1.2215,-0.247,1.398,-1.645
32,28.64,1.22,-0.245,1.398,-1.6429999999999998
33,29.46,1.2182,-0.245,1.398,-1.6429999999999998
34,30.28,1.2174,-0.25,1.398,-1.648
35,31.1,1.2157,-0.25,1.398,-1.648
36,31.92,1.2139,-0.254,1.398,-1.652
37,32.76,1.2122,-0.248,1.398,-1.646
38,33.58,1.2132,-0.253,1.398,-1.6509999999999998
