,Time,Freq,Angle1,Angle2,Phase
0,2.28,1.2277,-0.291,0.543,-0.8340000000000001
1,3.08,1.2317,-0.264,0.543,-0.807
2,3.9,1.2345,-0.267,0.543,-0.81
3,4.7,1.2365,-0.275,0.543,-0.8180000000000001
4,5.52,1.2378,-0.264,0.543,-0.807
5,6.32,1.2384,-0.272,0.543,-0.8150000000000001
6,7.12,1.2385,-0.273,0.542,-0.8150000000000001
7,7.94,1.2383,-0.27,0.543,-0.8130000000000001
8,8.74,1.2377,-0.27,0.543,-0.8130000000000001
9,9.56,1.237,-0.269,0.543,-0.812
10,10.36,1.2361,-0.272,0.543,-0.8150000000000001
11,11.18,1.2352,-0.27,0.543,-0.8130000000000001
12,11.98,1.2342,-0.272,0.543,-0.8150000000000001
13,12.8,1.2334,-0.272,0.543,-0.8150000000000001
14,13.6,1.2326,-0.275,0.542,-0.8170000000000001
15,14.42,1.2327,-0.272,0.543,-0.8150000000000001
16,15.22,1.2311,-0.275,0.542,-0.8170000000000001
17,16.04,1.2329,-0.275,0.543,-0.8180000000000001
18,16.86,1.2304,-0.272,0.543,-0.8150000000000001
19,17.66,1.2306,-0.275,0.543,-0.8180000000000001
20,18.48,1.2295,-0.273,0.543,-0.8160000000000001
21,19.3,1.2279,-0.273,0.543,-0.8160000000000001
22,20.1,1.2284,-0.275,0.543,-0.8180000000000001
23,20.92,1.2271,-0.275,0.543,-0.8180000000000001
24,21.74,1.2279,-0.275,0.543,-0.8180000000000001
25,22.56,1.2266,-0.272,0.542,-0.8140000000000001
26,23.36,1.2263,-0.278,0.542,-0.8200000000000001
27,24.18,1.2262,-0.278,0.543,-0.8210000000000001
28,25.0,1.2264,-0.276,0.543,-0.8190000000000001
29,25.82,1.2264,-0.275,0.543,-0.8180000000000001
30,26.64,1.2273,-0.276,0.542,-0.8180000000000001
31,27.44,1.2253,-0.278,0.542,-0.8200000000000001
32,28.26,1.2232,-0.28,0.542,-0.8220000000000001
33,29.08,1.2238,-0.283,0.543,-0.8260000000000001
34,29.9,1.2213,-0.283,0.542,-0.825
35,30.72,1.2189,-0.28,0.543,-0.8230000000000001
36,31.54,1.218,-0.283,0.543,-0.8260000000000001
37,32.36,1.2165,-0.281,0.543,-0.8240000000000001
38,33.18,1.2144,-0.281,0.542,-0.8230000000000001
39,34.0,1.2146,-0.286,0.542,-0.8280000000000001
40,34.84,1.2145,-0.283,0.543,-0.8260000000000001
41,35.66,1.2105,-0.286,0.543,-0.829
42,36.5,1.2089,-0.278,0.543,-0.8210000000000001
43,37.32,1.2094,-0.281,0.543,-0.8240000000000001
44,38.14,1.2085,-0.283,0.543,-0.8260000000000001
45,38.96,1.2101,-0.284,0.542,-0.8260000000000001
46,39.8,1.2074,-0.281,0.543,-0.8240000000000001
47,40.62,1.2067,-0.284,0.543,-0.827
48,41.44,1.2066,-0.286,0.542,-0.8280000000000001
49,42.28,1.2079,-0.284,0.543,-0.827
50,43.12,1.2069,-0.281,0.542,-0.8230000000000001
51,43.94,1.2063,-0.284,0.543,-0.827
52,44.78,1.2057,-0.278,0.542,-0.8200000000000001
53,45.6,1.2047,-0.281,0.543,-0.8240000000000001
54,46.42,1.2032,-0.286,0.54,-0.8260000000000001
55,47.26,1.2037,-0.284,0.542,-0.8260000000000001
56,48.1,1.2024,-0.278,0.542,-0.8200000000000001
57,48.92,1.2023,-0.283,0.543,-0.8260000000000001
58,49.76,1.2029,-0.283,0.543,-0.8260000000000001
59,50.58,1.2024,-0.287,0.542,-0.829
60,51.42,1.2007,-0.286,0.543,-0.829
61,52.26,1.1995,-0.283,0.543,-0.8260000000000001
62,53.1,1.1986,-0.281,0.542,-0.8230000000000001
63,53.92,1.196,-0.286,0.542,-0.8280000000000001
64,54.76,1.1935,-0.289,0.543,-0.8320000000000001
65,55.6,1.1939,-0.289,0.543,-0.8320000000000001
66,56.44,1.1909,-0.287,0.543,-0.8300000000000001
67,57.28,1.1917,-0.292,0.543,-0.835
68,58.12,1.1891,-0.291,0.542,-0.833
69,58.96,1.1874,-0.292,0.542,-0.8340000000000001
70,59.8,1.1855,-0.291,0.542,-0.833
71,60.66,1.1863,-0.287,0.542,-0.829
72,61.5,1.1834,-0.291,0.543,-0.8340000000000001
73,62.34,1.183,-0.294,0.543,-0.837
74,63.18,1.182,-0.294,0.542,-0.8360000000000001
75,64.04,1.1805,-0.292,0.543,-0.835
76,64.88,1.18,-0.291,0.543,-0.8340000000000001
77,65.72,1.1806,-0.294,0.543,-0.837
78,66.58,1.179,-0.289,0.543,-0.8320000000000001
79,67.42,1.1787,-0.295,0.543,-0.8380000000000001
80,68.28,1.1784,-0.291,0.542,-0.833
81,69.12,1.1779,-0.294,0.543,-0.837
82,69.98,1.1773,-0.292,0.542,-0.8340000000000001
83,70.82,1.1763,-0.298,0.543,-0.841
84,71.68,1.1748,-0.294,0.543,-0.837
85,72.52,1.1727,-0.298,0.542,-0.8400000000000001
86,73.38,1.1728,-0.297,0.543,-0.8400000000000001
87,74.24,1.1704,-0.295,0.543,-0.8380000000000001
88,75.08,1.1698,-0.302,0.542,-0.8440000000000001
89,75.94,1.1682,-0.302,0.542,-0.8440000000000001
90,76.8,1.1684,-0.298,0.543,-0.841
91,77.66,1.1657,-0.303,0.543,-0.8460000000000001
92,78.52,1.1645,-0.297,0.543,-0.8400000000000001
93,79.38,1.1636,-0.302,0.543,-0.845
94,80.24,1.1628,-0.302,0.543,-0.845
95,81.1,1.1622,-0.3,0.543,-0.843
96,81.96,1.1616,-0.302,0.543,-0.845
97,82.82,1.1611,-0.302,0.543,-0.845
98,83.68,1.1593,-0.303,0.543,-0.8460000000000001
99,84.54,1.1607,-0.303,0.542,-0.845
100,85.4,1.1581,-0.305,0.542,-0.847
101,86.28,1.1573,-0.3,0.543,-0.843
102,87.14,1.1573,-0.302,0.543,-0.845
103,88.0,1.1562,-0.305,0.543,-0.8480000000000001
104,88.86,1.154,-0.308,0.542,-0.8500000000000001
105,89.74,1.1523,-0.302,0.543,-0.845
106,90.6,1.151,-0.308,0.543,-0.851
107,91.48,1.1499,-0.302,0.542,-0.8440000000000001
108,92.34,1.149,-0.308,0.543,-0.851
109,93.22,1.1482,-0.306,0.543,-0.849
110,94.08,1.1474,-0.309,0.542,-0.851
111,94.96,1.1467,-0.308,0.543,-0.851
112,95.84,1.1459,-0.306,0.542,-0.8480000000000001
113,96.7,1.1449,-0.306,0.543,-0.849
114,97.58,1.1427,-0.309,0.543,-0.8520000000000001
115,98.46,1.142,-0.306,0.543,-0.849
116,99.34,1.1431,-0.305,0.542,-0.847
117,100.2,1.1415,-0.314,0.542,-0.8560000000000001
118,101.08,1.1414,-0.311,0.543,-0.8540000000000001
119,101.96,1.139,-0.313,0.543,-0.8560000000000001
120,102.84,1.1399,-0.313,0.543,-0.8560000000000001
121,103.72,1.1385,-0.311,0.543,-0.8540000000000001
122,104.6,1.1372,-0.313,0.543,-0.8560000000000001
123,105.48,1.1359,-0.311,0.543,-0.8540000000000001
124,106.36,1.1347,-0.317,0.543,-0.8600000000000001
125,107.24,1.1322,-0.314,0.543,-0.857
126,108.12,1.1325,-0.317,0.543,-0.8600000000000001
127,109.0,1.1316,-0.32,0.542,-0.8620000000000001
128,109.9,1.1293,-0.313,0.543,-0.8560000000000001
129,110.78,1.1285,-0.324,0.543,-0.867
130,111.66,1.1284,-0.322,0.542,-0.8640000000000001
131,112.56,1.1287,-0.32,0.543,-0.863
132,113.44,1.1269,-0.324,0.542,-0.8660000000000001
133,114.34,1.1261,-0.314,0.543,-0.857
134,115.22,1.1253,-0.319,0.543,-0.8620000000000001
135,116.1,1.1234,-0.325,0.542,-0.867
136,117.0,1.1234,-0.32,0.545,-0.865
137,117.88,1.1229,-0.324,0.542,-0.8660000000000001
138,118.78,1.121,-0.324,0.543,-0.867
139,119.68,1.1206,-0.32,0.543,-0.863
140,120.56,1.1194,-0.328,0.542,-0.8700000000000001
141,121.46,1.1164,-0.333,0.543,-0.8760000000000001
142,122.36,1.1146,-0.333,0.542,-0.875
143,123.26,1.1142,-0.335,0.542,-0.877
