,Time,Freq,Angle1,Angle2,Phase
0,2.68,1.2501,-0.289,1.291,-1.5799999999999998
1,3.48,1.2523,-0.319,1.29,-1.609
2,4.28,1.2534,-0.298,1.29,-1.588
3,5.08,1.2537,-0.311,1.29,-1.601
4,5.86,1.2534,-0.308,1.288,-1.596
5,6.66,1.2526,-0.309,1.288,-1.597
6,7.46,1.2514,-0.313,1.288,-1.601
7,8.28,1.25,-0.306,1.29,-1.596
8,9.08,1.2484,-0.309,1.29,-1.599
9,9.88,1.2468,-0.309,1.291,-1.5999999999999999
10,10.68,1.2452,-0.311,1.291,-1.6019999999999999
11,11.48,1.2437,-0.311,1.291,-1.6019999999999999
12,12.28,1.2423,-0.313,1.29,-1.603
13,13.1,1.2411,-0.311,1.291,-1.6019999999999999
14,13.9,1.2401,-0.313,1.291,-1.6039999999999999
15,14.7,1.2406,-0.313,1.29,-1.603
16,15.5,1.2392,-0.314,1.288,-1.602
17,16.32,1.2388,-0.313,1.291,-1.6039999999999999
18,17.12,1.2393,-0.314,1.291,-1.605
19,17.94,1.2383,-0.314,1.29,-1.604
20,18.74,1.2359,-0.314,1.291,-1.605
21,19.56,1.2335,-0.314,1.29,-1.604
22,20.36,1.2341,-0.314,1.291,-1.605
23,21.18,1.2337,-0.317,1.29,-1.607
24,21.98,1.2333,-0.317,1.29,-1.607
25,22.8,1.2328,-0.316,1.291,-1.607
26,23.6,1.2319,-0.319,1.29,-1.609
27,24.42,1.2304,-0.317,1.291,-1.6079999999999999
28,25.24,1.2312,-0.317,1.29,-1.607
29,26.04,1.2304,-0.32,1.29,-1.61
30,26.86,1.229,-0.319,1.291,-1.6099999999999999
31,27.68,1.2268,-0.32,1.291,-1.611
32,28.5,1.2265,-0.317,1.29,-1.607
33,29.3,1.2232,-0.322,1.29,-1.612
34,30.12,1.2243,-0.322,1.29,-1.612
35,30.94,1.223,-0.322,1.291,-1.613
36,31.76,1.2234,-0.322,1.291,-1.613
37,32.58,1.2205,-0.324,1.291,-1.615
38,33.4,1.2218,-0.322,1.29,-1.612
39,34.22,1.2194,-0.324,1.291,-1.615
40,35.04,1.2208,-0.324,1.29,-1.614
41,35.86,1.218,-0.325,1.29,-1.615
42,36.68,1.2188,-0.325,1.291,-1.6159999999999999
43,37.5,1.2181,-0.325,1.291,-1.6159999999999999
44,38.32,1.2157,-0.327,1.291,-1.6179999999999999
45,39.14,1.2163,-0.328,1.29,-1.618
46,39.96,1.215,-0.328,1.29,-1.618
47,40.8,1.2148,-0.324,1.29,-1.614
48,41.62,1.2134,-0.327,1.29,-1.617
49,42.44,1.211,-0.33,1.291,-1.621
50,43.26,1.2092,-0.331,1.29,-1.621
51,44.1,1.2078,-0.328,1.29,-1.618
52,44.92,1.2066,-0.331,1.291,-1.6219999999999999
53,45.76,1.2057,-0.333,1.29,-1.623
54,46.58,1.2048,-0.333,1.291,-1.6239999999999999
55,47.42,1.2041,-0.336,1.291,-1.627
56,48.24,1.2033,-0.335,1.29,-1.625
57,49.08,1.2025,-0.335,1.291,-1.626
58,49.92,1.2015,-0.335,1.291,-1.626
59,50.74,1.2004,-0.333,1.29,-1.623
60,51.58,1.1989,-0.336,1.291,-1.627
61,52.42,1.1968,-0.331,1.29,-1.621
62,53.24,1.1972,-0.336,1.29,-1.6260000000000001
63,54.08,1.195,-0.336,1.29,-1.6260000000000001
64,54.92,1.1948,-0.336,1.291,-1.627
65,55.76,1.1934,-0.331,1.29,-1.621
66,56.6,1.1937,-0.335,1.29,-1.625
67,57.44,1.1908,-0.335,1.29,-1.625
68,58.28,1.192,-0.33,1.29,-1.62
69,59.12,1.1897,-0.333,1.29,-1.623
70,59.96,1.1911,-0.335,1.29,-1.625
71,60.8,1.1896,-0.333,1.29,-1.623
72,61.64,1.1882,-0.335,1.29,-1.625
73,62.48,1.1895,-0.336,1.291,-1.627
74,63.32,1.1868,-0.338,1.291,-1.629
75,64.16,1.1864,-0.341,1.291,-1.632
76,65.0,1.1879,-0.344,1.29,-1.634
77,65.86,1.185,-0.338,1.29,-1.6280000000000001
78,66.7,1.1838,-0.339,1.29,-1.629
79,67.54,1.184,-0.342,1.29,-1.6320000000000001
