,Frequency (rad/s),Amplitude (measured),Amplitude (curve fit),Amplitude (experimental)
0,7.500238301180272,0.1618,0.15737967667761096,0.17653714897240813
1,7.502123256772426,0.1585,0.15728057162068945,0.17644376006084833
2,7.502123256772426,0.1588,0.15728057162068945,0.17644376006084833
3,7.5014949382417075,0.1557,0.15731359613596274,0.17647488173263096
4,7.499609982649554,0.1562,0.1574127327125226,0.17656829454541564
5,7.497096708526683,0.1602,0.157545062045768,0.17669295658342637
6,7.495211752934529,0.1569,0.1576444196187343,0.17678653691549806
7,7.493326797342375,0.1624,0.1577438720970505,0.17688018915456769
8,7.49144184175022,0.1584,0.15784341959650325,0.17697391336854232
9,7.490185204688784,0.156,0.15790983744290762,0.17703643619748147
10,7.490185204688784,0.1573,0.15790983744290762,0.17703643619748147
11,7.490185204688784,0.1561,0.15790983744290762,0.17703643619748147
12,7.490813523219503,0.16,0.15787662323216378,0.1770051707793704
13,7.492070160280938,0.1642,0.1578102265316279,0.1769426639624779
14,7.487043612035195,0.1553,0.15807606727343892,0.17719288348551024
15,7.497096708526683,0.1593,0.157545062045768,0.17669295658342637
16,7.506521486487452,0.1592,0.15704969371950778,0.1762261311559589
17,7.515317945917503,0.1595,0.1565894752889929,0.17579204033933155
18,7.505893167956734,0.1593,0.15708264483815954,0.17625719714586058
19,7.5014949382417075,0.1608,0.15731359613596274,0.17647488173263096
20,7.4958400714652464,0.1572,0.15761128988842008,0.17675533548515926
21,7.481388745258734,0.1608,0.158375949188511,0.1774749942284574
22,7.480760426728016,0.1569,0.15840932254257037,0.1775063800586771
23,7.476990515543707,0.1604,0.15860978634494113,0.17769486413043675
24,7.464424144929348,0.163,0.15928077853318046,0.17832524381217457
25,7.465052463460066,0.1541,0.15924712701965354,0.17829364791623672
26,7.463167507867912,0.1624,0.15934811383664357,0.17838845994811314
27,7.453114411376425,0.16,0.15988834953527029,0.17889535988385827
28,7.457512641091451,0.1591,0.15965165613143575,0.1786733347431393
29,7.453742729907143,0.1616,0.15985450371764873,0.17886361754730573
30,7.465052463460066,0.1596,0.15924712701965354,0.17829364791623672
31,7.449344500192117,0.1601,0.16009165216223775,0.1790859853520995
32,7.44557458900781,0.1638,0.1602953458585928,0.17927690513416658
33,7.444317951946374,0.1619,0.16036333082711915,0.1793406105607687
34,7.450601137253553,0.1615,0.16002384121497512,0.17902241085527212
35,7.443061314884939,0.1597,0.1604313593897043,0.1794043487713865
36,7.436778129577758,0.1617,0.1607721573592302,0.17972353230812538
37,7.438663085169912,0.1597,0.1606698031756532,0.1796276909810083
38,7.425468396024835,0.1598,0.16138835661343945,0.18030013763322292
39,7.421698484840528,0.1639,0.16159454942529533,0.1804929343735549
40,7.404105565980424,0.1583,0.16256206279798013,0.18139660741883323
41,7.389025921243193,0.1659,0.16339833689498015,0.1821764006127337
42,7.382114417405297,0.1622,0.16378380006530022,0.1825354256998002
43,7.37771618769027,0.1654,0.16402980935501918,0.182764428693088
44,7.371433002383091,0.1637,0.16438221895378988,0.18309229637251948
45,7.368919728260219,0.1616,0.16452350249789913,0.18322368132485595
46,7.368291409729501,0.1669,0.16455885198742995,0.18325654883576478
47,7.367663091198783,0.1618,0.16459421292773055,0.1832894248611685
48,7.366406454137348,0.1703,0.16466496917939433,0.1833552024661977
49,7.361379905891603,0.1663,0.16494845315540613,0.183618654003333
50,7.3701763653216545,0.1667,0.16445283785240603,0.1831579718357913
51,7.368919728260219,0.1642,0.16452350249789913,0.18322368132485595
52,7.357609994707296,0.1697,0.1651615491087597,0.18381660143171194
53,7.370804683852373,0.1646,0.16441752268707835,0.18312512985227164
54,7.370804683852373,0.1629,0.16441752268707835,0.18312512985227164
55,7.355725039115142,0.1675,0.16526825268677078,0.18391569067273683
56,7.362636542953039,0.164,0.16487751324081415,0.18355273990847676
57,7.351326809400115,0.1695,0.1655176319950694,0.18414719891974893
58,7.34692857968509,0.1634,0.1657675786288678,0.18437912794287356
59,7.3192825643335,0.166,0.16735176579973218,0.18584666138401051
60,7.312371060495602,0.1698,0.1677513728882075,0.18621617537030305
61,7.297919734289089,0.1685,0.16859156618502794,0.186992223737273
62,7.299804689881243,0.1688,0.16848161736964934,0.18689073614507518
63,7.279070178367551,0.1684,0.1696970107479266,0.1880114782012668
64,7.279698496898269,0.1688,0.16965998734947496,0.18797737436023768
65,7.275300267183242,0.1698,0.1699194061964818,0.18821628833514692
66,7.270273718937499,0.1728,0.17021661501404245,0.1884898682011772
67,7.265875489222474,0.1705,0.17047731352513018,0.188729720075681
68,7.253937437138833,0.1684,0.17118795263633513,0.18938296334485635
69,7.253937437138833,0.1726,0.17118795263633513,0.18938296334485635
70,7.265247170691756,0.1735,0.17051460509916355,0.1887640204601453
71,7.2495392074238065,0.1749,0.17145088799933367,0.18962445145207862
72,7.243256022116627,0.1749,0.17182756216599623,0.18997020286100477
73,7.239486110932319,0.1693,0.17205416273595275,0.19017808867505495
74,7.236972836809447,0.1726,0.1722054788265211,0.19031686083574917
75,7.234459562686576,0.1725,0.17235699453481843,0.19045577850461434
76,7.231317970032986,0.1707,0.1725466703832096,0.1906296304911183
77,7.226291421787241,0.1763,0.1728508031714289,0.19090826806341435
78,7.220008236480062,0.1754,0.1732321001937568,0.19125738808083403
79,7.2105834585192925,0.1749,0.1738064127406229,0.1917827887515494
80,7.197388769374216,0.1724,0.1746152524068283,0.19252183530765882
81,7.19613213231278,0.177,0.17469257847305036,0.19259243362918513
82,7.18670735435201,0.1765,0.17527416068898227,0.19312310615903308
