,frequency (rad/s),Amplitude (experimental),Amplitude (predicted)
0,7.854609952505201,0.1628,0.1384147423304378
1,7.8684329601809955,0.1741,0.13772988265673855
2,7.875344464018894,0.1584,0.1373895363182301
3,7.877229419611047,0.1781,0.1372969541348623
4,7.875344464018894,0.1576,0.1373895363182301
5,7.870317915773149,0.1751,0.13763692378065934
6,7.862778093404534,0.1629,0.13800937861978155
7,7.853981633974483,0.1714,0.1384460051193942
8,7.843928537482995,0.1662,0.1389477911219966
9,7.833875440991507,0.1697,0.13945257125378496
10,7.823822344500021,0.1698,0.13996037106292106
11,7.8143975665392515,0.1698,0.14043919883472508
12,7.8056011071092,0.1674,0.14088853872878293
13,7.7980612847405855,0.1719,0.14127557137743993
14,7.7917780994334045,0.1718,0.14159943573885114
15,7.794919692086994,0.1715,0.14143735114618905
16,7.786123232656943,0.1719,0.1418919587820544
17,7.783609958534071,0.17,0.1420222881502619
18,7.7867515511876615,0.1736,0.14185940716932763
19,7.780468365880481,0.1704,0.1421854769216693
20,7.765388721143251,0.1755,0.1429730937683026
21,7.75030907640602,0.1726,0.14376791419950205
22,7.7540789875903275,0.1754,0.14356852861950728
23,7.751565713467456,0.1749,0.14370140173323642
24,7.749052439344584,0.1746,0.14383447734543547
25,7.745910846690993,0.1744,0.1440011072959216
26,7.740255979914532,0.1728,0.1443018430400802
27,7.730831201953762,0.1788,0.1448053723393192
28,7.735857750199507,0.1748,0.14453646408315615
29,7.730831201953762,0.175,0.1448053723393192
30,7.722034742523712,0.1792,0.14527794838662914
31,7.708211734847915,0.1757,0.14602571750297264
32,7.706326779255762,0.1748,0.1461281771604631
33,7.68559226774207,0.1776,0.14726309633657134
34,7.692503771579967,0.1774,0.1468831808610067
35,7.684335630680635,0.1824,0.14733234587093855
36,7.686848904803506,0.1778,0.14719390042746536
37,7.668627667412684,0.1803,0.14820251400383982
38,7.6767958083120185,0.1784,0.14774897253956448
39,7.661716163574788,0.1791,0.14858807553533387
40,7.670512623004839,0.179,0.1480976470639043
41,7.652919704144736,0.1813,0.1490811876855094
42,7.65794625239048,0.1802,0.14879907947865015
43,7.653548022675453,0.1812,0.14904587594229576
44,7.638468377938223,0.1781,0.14989718209404637
45,7.64223828912253,0.1831,0.14968360494593688
46,7.634070148223198,0.1809,0.15014699156094322
47,7.632813511161762,0.1828,0.15021849187503106
48,7.62401705173171,0.1821,0.1507205710994949
