,freq,amp
0,1.1937,0.1618
1,1.194,0.1585
2,1.194,0.1588
3,1.1939,0.1557
4,1.1936,0.1562
5,1.1932,0.1602
6,1.1929,0.1569
7,1.1926,0.1624
8,1.1923,0.1584
9,1.1921,0.156
10,1.1921,0.1573
11,1.1921,0.1561
12,1.1922,0.16
13,1.1924,0.1642
14,1.1916,0.1553
15,1.1932,0.1593
16,1.1947,0.1592
17,1.1961,0.1595
18,1.1946,0.1593
19,1.1939,0.1608
20,1.193,0.1572
21,1.1907,0.1608
22,1.1906,0.1569
23,1.19,0.1604
24,1.188,0.163
25,1.1881,0.1541
26,1.1878,0.1624
27,1.1862,0.16
28,1.1869,0.1591
29,1.1863,0.1616
30,1.1881,0.1596
31,1.1856,0.1601
32,1.185,0.1638
33,1.1848,0.1619
34,1.1858,0.1615
35,1.1846,0.1597
36,1.1836,0.1617
37,1.1839,0.1597
38,1.1818,0.1598
39,1.1812,0.1639
40,1.1784,0.1583
41,1.176,0.1659
42,1.1749,0.1622
43,1.1742,0.1654
44,1.1732,0.1637
45,1.1728,0.1616
46,1.1727,0.1669
47,1.1726,0.1618
48,1.1724,0.1703
49,1.1716,0.1663
50,1.173,0.1667
51,1.1728,0.1642
52,1.171,0.1697
53,1.1731,0.1646
54,1.1731,0.1629
55,1.1707,0.1675
56,1.1718,0.164
57,1.17,0.1695
58,1.1693,0.1634
59,1.1649,0.166
60,1.1638,0.1698
61,1.1615,0.1685
62,1.1618,0.1688
63,1.1585,0.1684
64,1.1586,0.1688
65,1.1579,0.1698
66,1.1571,0.1728
67,1.1564,0.1705
68,1.1545,0.1684
69,1.1545,0.1726
70,1.1563,0.1735
71,1.1538,0.1749
72,1.1528,0.1749
73,1.1522,0.1693
74,1.1518,0.1726
75,1.1514,0.1725
76,1.1509,0.1707
77,1.1501,0.1763
78,1.1491,0.1754
79,1.1476,0.1749
80,1.1455,0.1724
81,1.1453,0.177
82,1.1438,0.1765
83,1.1408,0.1733
84,1.1421,0.179
85,1.1417,0.1736
86,1.1396,0.1811
87,1.1387,0.1754
88,1.1391,0.1753
89,1.1364,0.1796
90,1.1373,0.1811
91,1.135,0.1793
92,1.1351,0.1776
93,1.1348,0.1789
94,1.1342,0.1812
95,1.132,0.1813
96,1.1323,0.1818
97,1.131,0.1817
98,1.1306,0.1801
99,1.1283,0.1814
100,1.1272,0.1819
101,1.1261,0.1831
102,1.1252,0.1819
103,1.1242,0.1844
104,1.1233,0.1829
105,1.1223,0.1833
106,1.1213,0.1879
107,1.1203,0.1858
108,1.1183,0.1831
109,1.118,0.1864
110,1.117,0.1878
111,1.1143,0.1856
112,1.1144,0.1858
113,1.1147,0.1898
114,1.1127,0.186
115,1.1139,0.1855
116,1.112,0.1855
117,1.1098,0.1922
118,1.1104,0.19
119,1.1073,0.1885
120,1.107,0.1875
121,1.1055,0.19
122,1.1028,0.19
123,1.1019,0.1901
124,1.1017,0.1944
125,1.0997,0.1922
126,1.0988,0.1941
127,1.098,0.1901
128,1.0973,0.1976
129,1.0958,0.1962
130,1.0963,0.1987
131,1.0963,0.1964
132,1.0951,0.1944
133,1.0953,0.1987
134,1.0948,0.1942
135,1.0925,0.1987
136,1.0912,0.1944
137,1.0901,0.1959
138,1.089,0.199
139,1.0856,0.1965
140,1.0842,0.198
141,1.0847,0.2043
142,1.082,0.2012
143,1.0814,0.201
144,1.0804,0.202
145,1.0791,0.2016
146,1.079,0.2018
147,1.0776,0.2074
148,1.0778,0.2029
149,1.0762,0.2051
150,1.0757,0.2022
151,1.0751,0.2071
152,1.0746,0.2071
153,1.0739,0.2046
154,1.0731,0.2049
155,1.0712,0.2089
156,1.0708,0.209
157,1.0696,0.205
158,1.0689,0.2068
159,1.0686,0.2115
160,1.0673,0.2072
161,1.0665,0.2065
162,1.066,0.2119
163,1.0636,0.209
164,1.0632,0.2098
165,1.0626,0.2114
166,1.0618,0.2114
167,1.0606,0.2131
168,1.0591,0.214
169,1.0588,0.2164
170,1.057,0.2136
171,1.0567,0.2157
172,1.0569,0.2161
173,1.0552,0.2163
174,1.0545,0.2135
175,1.0537,0.2183
176,1.0528,0.2134
177,1.0519,0.2196
178,1.051,0.2177
179,1.0492,0.2209
180,1.049,0.2159
181,1.0474,0.2204
182,1.0471,0.2159
183,1.0448,0.2218
184,1.0457,0.2197
185,1.0447,0.2223
186,1.042,0.2249
187,1.0416,0.2219
188,1.0413,0.2224
189,1.0388,0.2221
190,1.0382,0.2217
191,1.0364,0.2243
192,1.036,0.2244
193,1.0363,0.2265
194,1.035,0.2284
195,1.0341,0.2267
196,1.033,0.2238
197,1.0324,0.2305
198,1.0306,0.231
199,1.0303,0.2283
200,1.0286,0.2329
201,1.0274,0.2282
202,1.0264,0.2304
203,1.0263,0.2297
204,1.0243,0.2343
205,1.0223,0.2351
206,1.0202,0.2306
207,1.0184,0.2341
208,1.0164,0.2397
209,1.0135,0.2318
210,1.0124,0.2439
211,1.0104,0.2389
212,1.0102,0.2376
213,1.009,0.2432
214,1.0064,0.2384
215,1.0068,0.2451
216,1.0073,0.2456
217,1.006,0.2423
218,1.0053,0.2502
219,1.0039,0.2478
220,1.004,0.2442
221,1.0028,0.2449
222,1.0027,0.2498
223,1.0018,0.2446
224,1.0011,0.2471
225,1.0007,0.2468
226,0.9984,0.2491
227,0.9987,0.249
228,0.9961,0.2506
229,0.9959,0.252
230,0.9947,0.2509
231,0.9945,0.2528
232,0.994,0.2516
233,0.9931,0.2516
234,0.9929,0.2485
235,0.9942,0.2533
236,0.9923,0.2577
237,0.9916,0.2547
238,0.9912,0.2577
239,0.9908,0.2559
240,0.9904,0.251
241,0.9898,0.2553
242,0.9881,0.2551
243,0.9894,0.255
244,0.9895,0.2599
245,0.9883,0.2548
246,0.988,0.2567
247,0.9859,0.2618
248,0.9864,0.2548
249,0.9842,0.2569
250,0.9846,0.2619
251,0.9826,0.2568
252,0.9812,0.2621
253,0.9798,0.259
254,0.9776,0.2614
255,0.977,0.2593
256,0.9753,0.2609
257,0.975,0.2628
258,0.9733,0.2687
259,0.9728,0.2697
260,0.9728,0.2695
261,0.9713,0.2653
262,0.9709,0.2698
263,0.9708,0.2702
264,0.9683,0.2647
265,0.9682,0.2664
266,0.967,0.2717
267,0.9669,0.2717
268,0.9656,0.2669
269,0.9644,0.2752
270,0.963,0.271
271,0.9632,0.2725
272,0.9623,0.2732
273,0.9608,0.2747
274,0.9605,0.2803
275,0.9588,0.2754
276,0.9582,0.2772
277,0.9563,0.2792
278,0.9549,0.2742
279,0.9534,0.2793
280,0.952,0.2811
281,0.9503,0.2818
282,0.9476,0.2801
283,0.9467,0.2861
284,0.946,0.2829
285,0.9452,0.2905
286,0.9443,0.2875
287,0.9434,0.2855
288,0.9423,0.2888
289,0.9411,0.2875
290,0.9389,0.2891
291,0.9377,0.2915
292,0.9358,0.2918
293,0.9341,0.2918
294,0.9324,0.2917
295,0.9308,0.2939
296,0.9283,0.2928
297,0.9275,0.2982
298,0.9257,0.2949
299,0.9245,0.3076
300,0.9243,0.3154
301,0.923,0.304
302,0.9222,0.3017
303,0.9216,0.3019
304,0.9211,0.3021
305,0.9198,0.3044
306,0.9194,0.3049
307,0.9197,0.3051
308,0.9178,0.3015
309,0.9172,0.3094
310,0.9151,0.306
311,0.9158,0.3124
312,0.9145,0.3122
313,0.9134,0.3086
314,0.913,0.3108
315,0.9112,0.317
316,0.9095,0.3115
317,0.9077,0.3115
318,0.9057,0.3117
319,0.9043,0.3155
320,0.9034,0.3178
321,0.9012,0.3231
322,0.9012,0.3155
323,0.899,0.3227
324,0.8989,0.3241
325,0.8981,0.3222
326,0.8964,0.3303
327,0.8959,0.3263
328,0.8959,0.3263
329,0.8944,0.3301
330,0.8934,0.3261
331,0.8917,0.3279
332,0.8908,0.3289
333,0.8887,0.3303
334,0.8886,0.3391
335,0.8864,0.3289
336,0.884,0.3365
337,0.8826,0.3385
338,0.8815,0.3389
339,0.8809,0.3352
340,0.8791,0.3414
341,0.8781,0.3371
342,0.8774,0.3456
343,0.8752,0.3431
344,0.873,0.3457
345,0.872,0.3457
346,0.8698,0.3485
347,0.8679,0.3441
348,0.8673,0.3538
349,0.8665,0.3568
350,0.8656,0.3484
351,0.8634,0.3559
352,0.8634,0.3528
353,0.862,0.3613
354,0.8611,0.3568
355,0.8596,0.361
356,0.859,0.3618
357,0.8574,0.3617
358,0.856,0.3635
359,0.8543,0.3659
360,0.8537,0.3656
361,0.852,0.3613
362,0.8512,0.3702
363,0.8491,0.3702
364,0.8475,0.3773
365,0.8454,0.3708
366,0.8445,0.3727
367,0.8428,0.3742
368,0.8416,0.3769
369,0.8406,0.3814
370,0.8402,0.3841
371,0.8379,0.3821
372,0.8364,0.3776
373,0.8358,0.386
374,0.8334,0.3837
375,0.8323,0.3906
376,0.8315,0.386
377,0.8315,0.3882
378,0.8291,0.3929
379,0.8271,0.3925
380,0.8263,0.3947
381,0.8244,0.3971
382,0.8233,0.3929
383,0.8214,0.4018
384,0.8197,0.4038
385,0.8173,0.3998
386,0.8157,0.4026
387,0.8143,0.4046
388,0.813,0.4065
389,0.8118,0.4117
390,0.8105,0.4138
391,0.8086,0.4115
392,0.8075,0.4207
393,0.8058,0.4139
394,0.8042,0.4225
395,0.8021,0.4185
396,0.8013,0.4182
397,0.7998,0.4226
398,0.7982,0.4257
399,0.7964,0.423
400,0.796,0.43
401,0.7947,0.427
402,0.7924,0.4369
403,0.7912,0.4325
404,0.791,0.4369
405,0.7902,0.4371
406,0.7886,0.4402
407,0.787,0.4374
408,0.7863,0.4392
409,0.785,0.4397
410,0.784,0.437
411,0.783,0.4466
412,0.7806,0.4418
413,0.779,0.4509
414,0.7775,0.4473
415,0.7762,0.4491
416,0.7744,0.4516
417,0.7734,0.454
418,0.7717,0.4493
419,0.7704,0.4586
420,0.7693,0.4565
421,0.7677,0.4656
422,0.7658,0.4613
