,freq,amp
0,1.2277,0.1965
1,1.2317,0.1432
2,1.2345,0.179
3,1.2365,0.1577
4,1.2378,0.1665
5,1.2384,0.163
6,1.2385,0.1683
7,1.2383,0.1613
8,1.2377,0.1643
9,1.237,0.1641
10,1.2361,0.1648
11,1.2352,0.1678
12,1.2342,0.163
13,1.2334,0.166
14,1.2326,0.1685
15,1.2327,0.1638
16,1.2311,0.1683
17,1.2329,0.165
18,1.2304,0.1685
19,1.2306,0.1649
20,1.2295,0.1663
21,1.2279,0.1699
22,1.2284,0.163
23,1.2271,0.1671
24,1.2279,0.1718
25,1.2266,0.1661
26,1.2263,0.1676
27,1.2262,0.1684
28,1.2264,0.1665
29,1.2264,0.17
30,1.2273,0.1708
31,1.2253,0.1668
32,1.2232,0.1713
33,1.2238,0.1722
34,1.2213,0.1703
35,1.2189,0.1694
36,1.218,0.1722
37,1.2165,0.1701
38,1.2144,0.1714
39,1.2146,0.1762
40,1.2145,0.1734
41,1.2105,0.178
42,1.2089,0.1746
43,1.2094,0.1726
44,1.2085,0.1745
45,1.2101,0.1776
46,1.2074,0.1735
47,1.2067,0.1788
48,1.2066,0.1785
49,1.2079,0.1778
50,1.2069,0.1799
51,1.2063,0.177
52,1.2057,0.1743
53,1.2047,0.1784
54,1.2032,0.1805
55,1.2037,0.1754
56,1.2024,0.1745
57,1.2023,0.1809
58,1.2029,0.1773
59,1.2024,0.1837
60,1.2007,0.1774
61,1.1995,0.1787
62,1.1986,0.1794
63,1.196,0.1831
64,1.1935,0.1847
65,1.1939,0.1829
66,1.1909,0.1837
67,1.1917,0.1874
68,1.1891,0.18
69,1.1874,0.1851
70,1.1855,0.1845
71,1.1863,0.1869
72,1.1834,0.1908
73,1.183,0.1851
74,1.182,0.1901
75,1.1805,0.1893
76,1.18,0.1883
77,1.1806,0.1843
78,1.179,0.1905
79,1.1787,0.1932
80,1.1784,0.187
81,1.1779,0.1926
82,1.1773,0.1925
83,1.1763,0.1907
84,1.1748,0.1931
85,1.1727,0.1908
86,1.1728,0.1968
87,1.1704,0.193
88,1.1698,0.1946
89,1.1682,0.1949
90,1.1684,0.1952
91,1.1657,0.1973
92,1.1645,0.1933
93,1.1636,0.2007
94,1.1628,0.1966
95,1.1622,0.2007
96,1.1616,0.1941
97,1.1611,0.1981
98,1.1593,0.1984
99,1.1607,0.1984
100,1.1581,0.1984
101,1.1573,0.2012
102,1.1573,0.1958
103,1.1562,0.2045
104,1.154,0.2012
105,1.1523,0.2033
106,1.151,0.2005
107,1.1499,0.2043
108,1.149,0.2036
109,1.1482,0.2043
110,1.1474,0.2082
111,1.1467,0.2056
112,1.1459,0.2089
113,1.1449,0.2058
114,1.1427,0.2098
115,1.142,0.2059
116,1.1431,0.2128
117,1.1415,0.2086
118,1.1414,0.208
119,1.139,0.2103
120,1.1399,0.2091
121,1.1385,0.2108
122,1.1372,0.2102
123,1.1359,0.2124
124,1.1347,0.2145
125,1.1322,0.2114
126,1.1325,0.2157
127,1.1316,0.2143
128,1.1293,0.2137
129,1.1285,0.2215
130,1.1284,0.2128
131,1.1287,0.2221
132,1.1269,0.2138
133,1.1261,0.2159
134,1.1253,0.2196
135,1.1234,0.2206
136,1.1234,0.2154
137,1.1229,0.2221
138,1.121,0.2211
139,1.1206,0.2194
140,1.1194,0.2245
141,1.1164,0.23
142,1.1146,0.2277
143,1.1142,0.228
144,1.111,0.2238
145,1.1092,0.2286
146,1.1079,0.2244
147,1.1059,0.2286
148,1.1073,0.2301
149,1.1057,0.2372
150,1.1041,0.2305
151,1.1044,0.2269
152,1.1022,0.2347
153,1.1042,0.232
154,1.1043,0.2285
155,1.1014,0.2363
156,1.1014,0.2366
157,1.1009,0.2312
158,1.1,0.236
159,1.0987,0.2346
160,1.0962,0.2412
161,1.0951,0.237
162,1.0933,0.2388
163,1.0898,0.2435
164,1.0898,0.2488
165,1.0873,0.2473
166,1.086,0.2417
167,1.0852,0.2407
168,1.0839,0.2443
169,1.0836,0.2478
170,1.0834,0.2429
171,1.0824,0.2527
172,1.0811,0.243
173,1.0814,0.2457
174,1.08,0.253
175,1.0798,0.2497
176,1.0799,0.2514
177,1.0778,0.2486
178,1.0764,0.256
179,1.0748,0.2495
180,1.073,0.2549
181,1.0724,0.2565
182,1.0705,0.2583
183,1.068,0.2573
184,1.069,0.2533
185,1.0685,0.2557
186,1.0665,0.2642
187,1.0659,0.2587
188,1.0635,0.2619
189,1.0643,0.2652
190,1.0625,0.2595
191,1.0606,0.2684
192,1.0607,0.2642
193,1.0594,0.2653
194,1.0605,0.2686
195,1.0581,0.2718
196,1.0563,0.2685
197,1.0569,0.2636
198,1.0553,0.2736
199,1.0544,0.2727
200,1.0533,0.2661
201,1.0521,0.2759
202,1.0508,0.2725
203,1.0487,0.2698
204,1.0483,0.283
205,1.0467,0.2816
206,1.0465,0.2733
207,1.0447,0.2729
208,1.0441,0.2835
209,1.0415,0.287
210,1.0418,0.2807
211,1.0395,0.2853
