,freq,amp
0,1.2522,0.1507
1,1.2495,0.152
2,1.2474,0.1553
3,1.2459,0.1546
4,1.2449,0.1546
5,1.2441,0.1546
6,1.2435,0.1548
7,1.243,0.1553
8,1.2426,0.1529
9,1.2421,0.1571
10,1.2415,0.1564
11,1.2408,0.1573
12,1.2399,0.1533
13,1.2389,0.1593
14,1.2377,0.1558
15,1.2357,0.159
16,1.2342,0.1582
17,1.2329,0.1576
18,1.2315,0.1599
19,1.2299,0.1611
20,1.2309,0.1584
21,1.2307,0.1565
22,1.2302,0.1578
23,1.2282,0.1627
24,1.2279,0.1589
25,1.2292,0.1589
26,1.2273,0.1636
27,1.2265,0.1575
28,1.227,0.1597
29,1.2249,0.1601
30,1.2231,0.1623
31,1.2215,0.1594
32,1.22,0.1616
33,1.2182,0.1634
34,1.2174,0.1636
35,1.2157,0.1644
36,1.2139,0.1658
37,1.2122,0.1653
38,1.2132,0.1692
39,1.2101,0.1655
40,1.2094,0.164
41,1.211,0.1659
42,1.211,0.1656
43,1.2092,0.1661
44,1.209,0.1648
45,1.2102,0.1674
46,1.209,0.1694
47,1.2081,0.1646
48,1.2074,0.1734
49,1.2065,0.1645
50,1.2052,0.1722
51,1.2033,0.1685
52,1.2036,0.1698
53,1.2022,0.1727
54,1.1992,0.1701
55,1.2007,0.1731
56,1.2003,0.1706
57,1.1978,0.1711
58,1.1967,0.1726
59,1.1958,0.1753
60,1.1949,0.1724
61,1.1954,0.1747
62,1.1926,0.1747
63,1.1899,0.1728
64,1.1907,0.1759
65,1.1875,0.1763
66,1.1878,0.1771
67,1.1841,0.1723
68,1.1838,0.1787
69,1.1823,0.1812
70,1.1794,0.176
71,1.1786,0.1825
72,1.1796,0.1827
73,1.1791,0.1785
74,1.177,0.1813
75,1.1764,0.1784
76,1.1761,0.1836
77,1.176,0.1785
78,1.1759,0.1848
79,1.1757,0.1791
80,1.1751,0.18
81,1.173,0.1846
82,1.1724,0.1816
83,1.1732,0.1852
84,1.172,0.1847
85,1.1698,0.1825
86,1.1693,0.1866
87,1.1659,0.1864
88,1.1665,0.1867
89,1.1641,0.1896
90,1.1627,0.185
91,1.1612,0.1864
92,1.1623,0.1864
93,1.1599,0.1894
94,1.16,0.1889
95,1.1596,0.1891
96,1.159,0.1905
97,1.1567,0.1894
98,1.1571,0.1861
99,1.1558,0.191
100,1.1555,0.1906
101,1.1532,0.1931
102,1.1522,0.1928
103,1.1513,0.1964
104,1.1504,0.1932
105,1.1495,0.1947
106,1.1474,0.1943
107,1.1472,0.1911
108,1.1462,0.1987
109,1.1435,0.1938
110,1.1448,0.1949
111,1.1434,0.1992
112,1.1436,0.194
113,1.1416,0.1952
114,1.1408,0.1963
115,1.1375,0.1988
116,1.1365,0.1987
117,1.1341,0.1986
118,1.1336,0.1999
119,1.1314,0.2047
120,1.1309,0.2044
121,1.1284,0.2007
122,1.1273,0.2041
123,1.1259,0.2041
124,1.1244,0.2074
125,1.1239,0.2063
