,freq,amp
0,1.2501,0.1628
1,1.2523,0.1741
2,1.2534,0.1584
3,1.2537,0.1781
4,1.2534,0.1576
5,1.2526,0.1751
6,1.2514,0.1629
7,1.25,0.1714
8,1.2484,0.1662
9,1.2468,0.1697
10,1.2452,0.1698
11,1.2437,0.1698
12,1.2423,0.1674
13,1.2411,0.1719
14,1.2401,0.1718
15,1.2406,0.1715
16,1.2392,0.1719
17,1.2388,0.17
18,1.2393,0.1736
19,1.2383,0.1704
20,1.2359,0.1755
21,1.2335,0.1726
22,1.2341,0.1754
23,1.2337,0.1749
24,1.2333,0.1746
25,1.2328,0.1744
26,1.2319,0.1728
27,1.2304,0.1788
28,1.2312,0.1748
29,1.2304,0.175
30,1.229,0.1792
31,1.2268,0.1757
32,1.2265,0.1748
33,1.2232,0.1776
34,1.2243,0.1774
35,1.223,0.1824
36,1.2234,0.1778
37,1.2205,0.1803
38,1.2218,0.1784
39,1.2194,0.1791
40,1.2208,0.179
41,1.218,0.1813
42,1.2188,0.1802
43,1.2181,0.1812
44,1.2157,0.1781
45,1.2163,0.1831
46,1.215,0.1809
47,1.2148,0.1828
48,1.2134,0.1821
49,1.211,0.1832
50,1.2092,0.184
51,1.2078,0.1847
52,1.2066,0.1839
53,1.2057,0.1901
54,1.2048,0.1844
55,1.2041,0.1899
56,1.2033,0.1875
57,1.2025,0.1897
58,1.2015,0.1907
59,1.2004,0.1876
60,1.1989,0.1894
61,1.1968,0.1934
62,1.1972,0.1895
63,1.195,0.1923
64,1.1948,0.1906
65,1.1934,0.1902
66,1.1937,0.1996
67,1.1908,0.1876
68,1.192,0.1961
69,1.1897,0.1948
70,1.1911,0.1936
71,1.1896,0.1931
72,1.1882,0.191
73,1.1895,0.2005
74,1.1868,0.1929
75,1.1864,0.201
76,1.1879,0.1999
77,1.185,0.1927
78,1.1838,0.2006
79,1.184,0.2011
80,1.1821,0.2003
81,1.1807,0.1966
82,1.1797,0.2004
83,1.1789,0.1982
84,1.1783,0.203
85,1.1778,0.2012
86,1.1771,0.1986
87,1.1764,0.2045
88,1.1755,0.2021
89,1.1743,0.2019
90,1.1727,0.2084
91,1.1705,0.2038
92,1.1695,0.2042
93,1.1693,0.2037
94,1.1683,0.2108
95,1.1664,0.2043
96,1.1652,0.2072
97,1.1644,0.2081
98,1.1642,0.2093
99,1.1642,0.2103
100,1.1618,0.2093
101,1.1628,0.2113
102,1.16,0.2128
103,1.1593,0.2095
104,1.1607,0.2118
105,1.1581,0.2086
106,1.1573,0.216
107,1.1573,0.2118
108,1.1552,0.2156
109,1.1541,0.2131
110,1.1531,0.2163
111,1.153,0.2133
112,1.1507,0.2199
113,1.1488,0.215
114,1.1473,0.2193
115,1.1461,0.219
116,1.1451,0.2158
117,1.1432,0.2213
118,1.1433,0.2196
119,1.1428,0.2188
120,1.1415,0.2279
121,1.1412,0.2236
122,1.1416,0.2251
123,1.141,0.2257
124,1.1384,0.2217
125,1.1394,0.2222
126,1.1371,0.2294
127,1.1381,0.2235
128,1.1356,0.2247
129,1.1354,0.2274
130,1.1344,0.2256
131,1.1329,0.2286
132,1.1323,0.2318
133,1.1298,0.2242
134,1.1296,0.2329
135,1.1275,0.2295
136,1.126,0.2323
137,1.1251,0.2374
138,1.1249,0.2289
139,1.1252,0.2349
140,1.1234,0.2364
141,1.1225,0.2358
142,1.1216,0.2336
143,1.1196,0.2363
144,1.1192,0.2395
145,1.1179,0.2341
146,1.1174,0.2376
147,1.1175,0.2429
148,1.1167,0.2398
149,1.114,0.2416
150,1.1139,0.2413
151,1.1138,0.2397
152,1.1113,0.2438
153,1.1118,0.2422
154,1.1089,0.2438
155,1.1081,0.2459
156,1.1058,0.2423
157,1.106,0.2514
158,1.1048,0.248
159,1.1021,0.2508
160,1.1011,0.2487
161,1.1006,0.2534
162,1.1007,0.25
163,1.0988,0.2556
164,1.098,0.2504
165,1.0972,0.2552
166,1.0955,0.2559
167,1.0957,0.2524
168,1.0954,0.2592
169,1.0946,0.2591
170,1.0923,0.2586
171,1.0913,0.2555
172,1.0907,0.2607
173,1.0895,0.2666
174,1.089,0.2539
175,1.0885,0.2692
176,1.087,0.2656
177,1.0849,0.2606
178,1.0842,0.2637
179,1.0841,0.2691
180,1.0823,0.2703
181,1.0818,0.2681
182,1.0793,0.2659
183,1.0779,0.2721
184,1.0767,0.2714
185,1.0759,0.2721
186,1.0731,0.2782
187,1.0713,0.2789
188,1.0688,0.2774
189,1.0683,0.2765
190,1.0676,0.2802
191,1.0658,0.2752
192,1.0656,0.279
193,1.064,0.2849
194,1.0628,0.2861
195,1.0647,0.2799
196,1.0639,0.2789
197,1.0631,0.2883
198,1.0618,0.2812
199,1.0621,0.2853
200,1.0605,0.2881
201,1.0599,0.2961
202,1.0596,0.2878
203,1.0571,0.2882
204,1.0555,0.2976
205,1.0537,0.2938
206,1.0518,0.2869
207,1.05,0.2959
208,1.0475,0.2979
209,1.0469,0.301
210,1.0461,0.301
211,1.0443,0.3031
212,1.0443,0.2997
213,1.043,0.304
214,1.0431,0.3055
215,1.0416,0.306
216,1.0403,0.3081
217,1.0409,0.3078
218,1.0413,0.3082
219,1.0393,0.3077
220,1.0389,0.3097
221,1.0371,0.3075
222,1.0364,0.3155
223,1.0361,0.3176
224,1.034,0.3151
225,1.0326,0.32
226,1.0313,0.3133
227,1.0299,0.3216
228,1.0278,0.317
229,1.0275,0.3192
230,1.026,0.3273
