,run,f0,w0,beta,error
0,1,6.038957480132069,4.28185178740884,0.3078161346955246,0.021096373886421868
1,2,6.708731569001818,4.370293837035149,0.5231985734696434,0.0004557942400270115
2,3,6.7389270330091176,4.3936553022157625,0.932882966197841,2.5661049765798657e-05
3,4,6.775383624604952,4.39073157501164,1.4700270140770708,9.723673733542434e-05
