"Time (s) Run #14","Angle, Ch P1 (rad) Run #14","Angle, Ch P2 (rad) Run #14","AngleAmp (rad) Run #14","DrivingFrequency (Hz) Run #14","freq (Hz) Run #14","AngVel (rad/s) Run #14","DriverAngleVel (rad/s) Run #14"
2.880,-0.115,-0.276,,,,-1.3221,5.7727
2.900,-0.141,-0.159,,,,-1.2697,5.8250
2.920,-0.167,-0.042,,,,-1.1912,5.7596
2.940,-0.188,0.074,,,,-1.0865,5.5371
2.960,-0.210,0.182,,,,-0.9687,5.1313
2.980,-0.228,0.281,,,,-0.8247,4.5553
3.000,-0.243,0.366,,,,-0.6414,3.8746
3.020,-0.254,0.437,,,,-0.4451,3.0892
3.040,-0.261,0.492,,,,-0.2487,2.2253
3.060,-0.264,0.526,,,,-0.0654,1.2828
3.080,-0.264,0.543,,1.2500,1.2317,0.1309,0.3011
3.100,-0.259,0.539,,,,0.3403,-0.7069
3.120,-0.250,0.515,,,,0.5367,-1.7017
3.140,-0.237,0.470,,,,0.7069,-2.6180
3.160,-0.221,0.408,,,,0.8639,-3.4688
3.180,-0.203,0.331,,,,1.0079,-4.2150
3.200,-0.181,0.237,,,,1.1126,-4.8433
3.220,-0.157,0.135,,,,1.1781,-5.3145
3.240,-0.134,0.024,,,,1.2174,-5.6287
3.260,-0.108,-0.093,,,,1.2305,-5.8120
3.280,-0.083,-0.210,,,,1.2174,-5.8512
3.300,-0.060,-0.328,,,,1.1650,-5.7596
3.320,-0.036,-0.443,,,,1.0865,-5.5240
3.340,-0.016,-0.551,,,,0.9817,-5.1575
3.360,0.003,-0.650,,,,0.8508,-4.6862
3.380,0.019,-0.740,,,,0.7069,-4.1495
3.400,0.031,-0.817,,,,0.5498,-3.5343
3.420,0.041,-0.883,,,,0.3796,-2.8143
3.440,0.047,-0.931,,,,0.1963,-2.0289
3.460,0.049,-0.963,0.1432,,,0.0000,-1.2305
3.480,0.047,-0.980,,,,-0.2094,-0.4320
3.500,0.041,-0.982,,,,-0.4058,0.4058
3.520,0.030,-0.964,,,,-0.5760,1.2566
3.540,0.017,-0.930,,,,-0.7330,2.0551
3.560,0.002,-0.881,,,,-0.8770,2.8013
3.580,-0.019,-0.818,,,,-1.0079,3.5081
3.600,-0.039,-0.740,,,,-1.1126,4.1626
3.620,-0.063,-0.650,,,,-1.1781,4.7255
3.640,-0.088,-0.550,,,,-1.2305,5.1836
3.660,-0.112,-0.441,,,,-1.2435,5.5240
3.680,-0.138,-0.327,,,,-1.2305,5.7334
3.700,-0.162,-0.210,,,,-1.1912,5.8250
3.720,-0.185,-0.093,,,,-1.1257,5.7989
3.740,-0.207,0.024,,,,-1.0341,5.6287
3.760,-0.228,0.135,,,,-0.9032,5.3145
3.780,-0.243,0.237,,,,-0.7461,4.8564
3.800,-0.258,0.331,,,,-0.5760,4.2281
3.820,-0.267,0.410,,,,-0.3927,3.4688
3.840,-0.273,0.470,,,,-0.1963,2.6049
3.860,-0.275,0.515,,,,0.0000,1.6886
3.880,-0.273,0.539,,,,0.2094,0.7199
3.900,-0.267,0.543,,1.2195,1.2345,0.4058,-0.2880
3.920,-0.256,0.528,,,,0.6021,-1.2828
3.940,-0.243,0.492,,,,0.7854,-2.2384
3.960,-0.225,0.437,,,,0.9425,-3.1154
3.980,-0.204,0.366,,,,1.0734,-3.9008
4.000,-0.182,0.280,,,,1.1781,-4.5815
4.020,-0.157,0.181,,,,1.2697,-5.1313
4.040,-0.130,0.072,,,,1.3221,-5.5240
4.060,-0.104,-0.042,,,,1.3352,-5.7727
4.080,-0.077,-0.160,,,,1.3221,-5.8643
4.100,-0.050,-0.280,,,,1.2828,-5.8120
4.120,-0.025,-0.394,,,,1.2043,-5.6287
4.140,-0.002,-0.506,,,,1.0996,-5.3276
4.160,0.019,-0.609,,,,0.9687,-4.9218
4.180,0.038,-0.704,,,,0.8247,-4.3982
4.200,0.052,-0.787,,,,0.6676,-3.7961
4.220,0.064,-0.856,,,,0.4843,-3.1023
4.240,0.072,-0.913,,,,0.2749,-2.3562
4.260,0.075,-0.950,0.1790,,,0.0524,-1.5839
4.280,0.074,-0.975,,,,-0.1440,-0.7854
4.300,0.069,-0.983,,,,-0.3272,0.0262
4.320,0.061,-0.974,,,,-0.5105,0.8770
4.340,0.049,-0.949,,,,-0.6938,1.7017
4.360,0.033,-0.905,,,,-0.8639,2.4871
4.380,0.014,-0.848,,,,-1.0079,3.2201
4.400,-0.008,-0.776,,,,-1.1257,3.8877
4.420,-0.031,-0.691,,,,-1.2174,4.4899
4.440,-0.057,-0.595,,,,-1.2828,5.0004
4.460,-0.083,-0.490,,,,-1.3221,5.3931
4.480,-0.110,-0.377,,,,-1.3221,5.6549
4.500,-0.137,-0.262,,,,-1.2959,5.7989
4.520,-0.162,-0.145,,,,-1.2435,5.8250
4.540,-0.187,-0.027,,,,-1.1650,5.7203
4.560,-0.209,0.086,,,,-1.0603,5.4716
4.580,-0.229,0.193,,,,-0.9163,5.0789
4.600,-0.247,0.292,,,,-0.7592,4.5160
4.620,-0.259,0.377,,,,-0.5760,3.8092
4.640,-0.270,0.445,,,,-0.3796,2.9976
4.660,-0.275,0.498,,,,-0.1833,2.1075
4.680,-0.276,0.531,,,,0.0262,1.1519
4.700,-0.275,0.543,,1.2500,1.2365,0.2356,0.1571
4.720,-0.267,0.537,,,,0.4451,-0.8378
4.740,-0.256,0.511,,,,0.6283,-1.8064
4.760,-0.242,0.463,,,,0.7854,-2.7227
4.780,-0.225,0.401,,,,0.9425,-3.5474
4.800,-0.204,0.320,,,,1.0865,-4.2804
4.820,-0.181,0.228,,,,1.1912,-4.8957
4.840,-0.156,0.123,,,,1.2566,-5.3669
4.860,-0.130,0.011,,,,1.2828,-5.6811
4.880,-0.104,-0.107,,,,1.2828,-5.8381
4.900,-0.079,-0.225,,,,1.2697,-5.8643
4.920,-0.053,-0.342,,,,1.2305,-5.7465
4.940,-0.028,-0.457,,,,1.1519,-5.4847
4.960,-0.006,-0.564,,,,1.0341,-5.0920
4.980,0.013,-0.661,,,,0.8901,-4.6208
5.000,0.030,-0.749,,,,0.7330,-4.0841
5.020,0.042,-0.826,,,,0.5629,-3.4558
5.040,0.052,-0.889,,,,0.3796,-2.7227
5.060,0.058,-0.936,,,,0.1963,-1.9373
5.080,0.060,-0.966,0.1577,,,0.0000,-1.1388
5.100,0.058,-0.982,,,,-0.2094,-0.3272
5.120,0.052,-0.980,,,,-0.4058,0.4974
5.140,0.041,-0.961,,,,-0.5890,1.3352
5.160,0.028,-0.927,,,,-0.7461,2.1468
5.180,0.011,-0.875,,,,-0.8901,2.8929
5.200,-0.008,-0.809,,,,-1.0210,3.5736
5.220,-0.030,-0.732,,,,-1.1257,4.2019
5.240,-0.053,-0.641,,,,-1.2043,4.7778
5.260,-0.079,-0.539,,,,-1.2435,5.2360
5.280,-0.104,-0.429,,,,-1.2566,5.5502
5.300,-0.129,-0.316,,,,-1.2566,5.7596
5.320,-0.154,-0.198,,,,-1.2305,5.8643
5.340,-0.179,-0.079,,,,-1.1519,5.8250
5.360,-0.201,0.038,,,,-1.0341,5.6156
5.380,-0.220,0.148,,,,-0.9032,5.2622
5.400,-0.237,0.250,,,,-0.7723,4.7648
5.420,-0.251,0.341,,,,-0.6152,4.1364
5.440,-0.262,0.416,,,,-0.4320,3.3772
5.460,-0.269,0.478,,,,-0.2356,2.5133
5.480,-0.272,0.518,,,,-0.0262,1.5839
5.500,-0.270,0.540,,,,0.1833,0.6021
5.520,-0.264,0.543,,1.2195,1.2378,0.3927,-0.4058
5.540,-0.254,0.525,,,,0.5890,-1.4137
5.560,-0.240,0.485,,,,0.7592,-2.3562
5.580,-0.223,0.429,,,,0.9032,-3.2201
5.600,-0.204,0.357,,,,1.0341,-4.0055
5.620,-0.182,0.267,,,,1.1519,-4.6862
5.640,-0.157,0.167,,,,1.2435,-5.2098
5.660,-0.132,0.057,,,,1.2828,-5.5763
5.680,-0.105,-0.058,,,,1.2959,-5.7989
5.700,-0.080,-0.178,,,,1.2828,-5.8774
5.720,-0.053,-0.295,,,,1.2435,-5.8250
5.740,-0.030,-0.412,,,,1.1781,-5.6156
5.760,-0.006,-0.523,,,,1.0734,-5.2753
5.780,0.014,-0.624,,,,0.9425,-4.8302
5.800,0.031,-0.716,,,,0.7854,-4.3066
5.820,0.046,-0.798,,,,0.6152,-3.7045
5.840,0.057,-0.866,,,,0.4320,-3.0107
5.860,0.063,-0.919,,,,0.2356,-2.2515
5.880,0.066,-0.957,0.1665,,,0.0393,-1.4661
5.900,0.064,-0.977,,,,-0.1571,-0.6545
5.920,0.060,-0.983,,,,-0.3534,0.1702
5.940,0.050,-0.971,,,,-0.5367,0.9948
5.960,0.038,-0.942,,,,-0.7069,1.8195
5.980,0.022,-0.898,,,,-0.8639,2.6049
6.000,0.003,-0.837,,,,-1.0079,3.3379
6.020,-0.019,-0.763,,,,-1.1257,3.9924
6.040,-0.042,-0.677,,,,-1.2043,4.5553
6.060,-0.068,-0.580,,,,-1.2566,5.0396
6.080,-0.093,-0.474,,,,-1.2959,5.4323
6.100,-0.119,-0.361,,,,-1.2959,5.7072
6.120,-0.146,-0.243,,,,-1.2566,5.8643
6.140,-0.170,-0.126,,,,-1.1912,5.8643
6.160,-0.193,-0.006,,,,-1.1126,5.7203
6.180,-0.215,0.105,,,,-1.0079,5.4323
6.200,-0.234,0.212,,,,-0.8639,4.9742
6.220,-0.250,0.308,,,,-0.6938,4.3851
6.240,-0.262,0.388,,,,-0.5105,3.6652
6.260,-0.270,0.456,,,,-0.3142,2.8536
6.280,-0.275,0.504,,,,-0.1178,1.9504
6.300,-0.275,0.534,,,,0.0785,0.9817
6.320,-0.272,0.543,,1.2500,1.2384,0.2880,-0.0131
6.340,-0.264,0.534,,,,0.4974,-1.0079
6.360,-0.251,0.503,,,,0.6938,-1.9766
6.380,-0.236,0.454,,,,0.8508,-2.8798
6.400,-0.217,0.386,,,,0.9817,-3.6914
6.420,-0.196,0.305,,,,1.0996,-4.4113
6.440,-0.173,0.209,,,,1.2043,-5.0004
6.460,-0.148,0.102,,,,1.2828,-5.4454
6.480,-0.121,-0.011,,,,1.3090,-5.7203
6.500,-0.094,-0.129,,,,1.2959,-5.8381
6.520,-0.069,-0.247,,,,1.2566,-5.8250
6.540,-0.044,-0.363,,,,1.2043,-5.6811
6.560,-0.020,-0.476,,,,1.1257,-5.4193
6.580,0.002,-0.581,,,,1.0079,-5.0396
6.600,0.020,-0.679,,,,0.8639,-4.5422
6.620,0.036,-0.765,,,,0.7069,-3.9532
6.640,0.049,-0.837,,,,0.5367,-3.2987
6.660,0.058,-0.897,,,,0.3534,-2.5787
6.680,0.063,-0.942,,,,0.1571,-1.8064
6.700,0.064,-0.969,0.1630,,,-0.0524,-1.0079
6.720,0.061,-0.982,,,,-0.2618,-0.1963
6.740,0.053,-0.979,,,,-0.4581,0.6152
6.760,0.042,-0.957,,,,-0.6283,1.4268
6.780,0.028,-0.920,,,,-0.7854,2.2253
6.800,0.011,-0.869,,,,-0.9294,2.9714
6.820,-0.009,-0.800,,,,-1.0472,3.6652
6.840,-0.031,-0.721,,,,-1.1519,4.2804
6.860,-0.055,-0.628,,,,-1.2305,4.8302
6.880,-0.082,-0.526,,,,-1.2828,5.2884
6.900,-0.107,-0.415,,,,-1.2959,5.5894
6.920,-0.134,-0.300,,,,-1.2697,5.7596
6.940,-0.159,-0.184,,,,-1.2305,5.8120
6.960,-0.182,-0.066,,,,-1.1519,5.7596
6.980,-0.206,0.049,,,,-1.0472,5.5763
7.000,-0.225,0.159,,,,-0.9163,5.2229
7.020,-0.242,0.261,,,,-0.7723,4.6993
7.040,-0.256,0.349,,,,-0.6152,4.0448
7.060,-0.267,0.423,,,,-0.4189,3.2725
7.080,-0.273,0.482,,,,-0.2094,2.4216
7.100,-0.275,0.520,,,,0.0000,1.4923
7.120,-0.273,0.542,,1.2500,1.2385,0.2094,0.5105
7.140,-0.267,0.542,,,,0.4058,-0.4843
7.160,-0.256,0.522,,,,0.5890,-1.4923
7.180,-0.243,0.482,,,,0.7592,-2.4347
7.200,-0.226,0.423,,,,0.9163,-3.2987
7.220,-0.206,0.349,,,,1.0603,-4.0448
7.240,-0.184,0.259,,,,1.1650,-4.6731
7.260,-0.159,0.160,,,,1.2435,-5.1836
7.280,-0.134,0.050,,,,1.2959,-5.5502
7.300,-0.107,-0.064,,,,1.3090,-5.7727
7.320,-0.080,-0.182,,,,1.2959,-5.8512
7.340,-0.055,-0.300,,,,1.2435,-5.7989
7.360,-0.030,-0.416,,,,1.1650,-5.6025
7.380,-0.008,-0.526,,,,1.0734,-5.2753
7.400,0.013,-0.628,,,,0.9556,-4.8302
7.420,0.031,-0.721,,,,0.8116,-4.2935
7.440,0.046,-0.801,,,,0.6283,-3.6652
7.460,0.057,-0.869,,,,0.4320,-2.9583
7.480,0.063,-0.920,,,,0.2356,-2.2122
7.500,0.066,-0.957,0.1683,,,0.0393,-1.4399
7.520,0.064,-0.979,,,,-0.1571,-0.6414
7.540,0.060,-0.983,,,,-0.3534,0.1963
7.560,0.050,-0.971,,,,-0.5367,1.0472
7.580,0.038,-0.941,,,,-0.7069,1.8588
7.600,0.022,-0.895,,,,-0.8639,2.6311
7.620,0.003,-0.836,,,,-1.0079,3.3379
7.640,-0.019,-0.760,,,,-1.1257,3.9924
7.660,-0.042,-0.675,,,,-1.2043,4.5815
7.680,-0.068,-0.576,,,,-1.2566,5.0658
7.700,-0.093,-0.470,,,,-1.2828,5.4323
7.720,-0.119,-0.358,,,,-1.2828,5.6811
7.740,-0.145,-0.242,,,,-1.2566,5.8381
7.760,-0.170,-0.123,,,,-1.2043,5.8643
7.780,-0.193,-0.005,,,,-1.1257,5.7203
7.800,-0.215,0.108,,,,-1.0079,5.4062
7.820,-0.234,0.214,,,,-0.8639,4.9480
7.840,-0.250,0.308,,,,-0.6938,4.3590
7.860,-0.262,0.390,,,,-0.5105,3.6521
7.880,-0.270,0.456,,,,-0.3142,2.8405
7.900,-0.275,0.504,,,,-0.1047,1.9373
7.920,-0.275,0.534,,,,0.1047,0.9817
7.940,-0.270,0.543,,1.2195,1.2383,0.3011,-0.0131
7.960,-0.262,0.534,,,,0.4843,-1.0210
7.980,-0.251,0.503,,,,0.6676,-2.0028
8.000,-0.236,0.452,,,,0.8508,-2.9191
8.020,-0.217,0.385,,,,1.0079,-3.7306
8.040,-0.195,0.302,,,,1.1257,-4.4375
8.060,-0.171,0.206,,,,1.2043,-5.0135
8.080,-0.146,0.099,,,,1.2566,-5.4454
8.100,-0.121,-0.014,,,,1.2828,-5.7334
8.120,-0.094,-0.132,,,,1.2828,-5.8643
8.140,-0.069,-0.251,,,,1.2566,-5.8512
8.160,-0.044,-0.368,,,,1.2043,-5.6941
8.180,-0.020,-0.481,,,,1.1257,-5.4193
8.200,0.002,-0.586,,,,1.0079,-5.0266
8.220,0.020,-0.683,,,,0.8639,-4.5422
8.240,0.036,-0.768,,,,0.6938,-3.9663
8.260,0.049,-0.844,,,,0.5105,-3.2856
8.280,0.057,-0.902,,,,0.3272,-2.5395
8.300,0.061,-0.944,,,,0.1309,-1.7541
8.320,0.063,-0.972,0.1613,,,-0.0654,-0.9556
8.340,0.058,-0.983,,,,-0.2618,-0.1309
8.360,0.052,-0.977,,,,-0.4451,0.7199
8.380,0.041,-0.955,,,,-0.6283,1.5446
8.400,0.027,-0.914,,,,-0.7985,2.3300
8.420,0.008,-0.861,,,,-0.9425,3.0761
8.440,-0.011,-0.792,,,,-1.0603,3.7699
8.460,-0.035,-0.708,,,,-1.1519,4.3982
8.480,-0.058,-0.614,,,,-1.2305,4.9087
8.500,-0.083,-0.511,,,,-1.2697,5.3145
8.520,-0.110,-0.401,,,,-1.2828,5.6156
8.540,-0.135,-0.284,,,,-1.2566,5.7989
8.560,-0.160,-0.167,,,,-1.2043,5.8512
8.580,-0.184,-0.049,,,,-1.1388,5.7727
8.600,-0.206,0.066,,,,-1.0341,5.5502
8.620,-0.226,0.176,,,,-0.9032,5.1575
8.640,-0.242,0.275,,,,-0.7461,4.6077
8.660,-0.256,0.361,,,,-0.5760,3.9270
8.680,-0.265,0.434,,,,-0.3927,3.1547
8.700,-0.272,0.489,,,,-0.1833,2.2907
8.720,-0.273,0.526,,,,0.0262,1.3352
8.740,-0.270,0.543,,1.2500,1.2377,0.2356,0.3403
8.760,-0.264,0.539,,,,0.4320,-0.6676
8.780,-0.253,0.517,,,,0.6152,-1.6493
8.800,-0.239,0.473,,,,0.7854,-2.5918
8.820,-0.221,0.412,,,,0.9425,-3.4558
8.840,-0.201,0.333,,,,1.0734,-4.2019
8.860,-0.178,0.242,,,,1.1781,-4.8302
8.880,-0.154,0.138,,,,1.2435,-5.3145
8.900,-0.127,0.027,,,,1.2828,-5.6549
8.920,-0.102,-0.090,,,,1.2959,-5.8381
8.940,-0.075,-0.209,,,,1.2697,-5.8774
8.960,-0.050,-0.327,,,,1.2174,-5.7596
8.980,-0.027,-0.441,,,,1.1388,-5.5109
9.000,-0.005,-0.548,,,,1.0472,-5.1575
9.020,0.016,-0.649,,,,0.9163,-4.7124
9.040,0.033,-0.738,,,,0.7461,-4.1757
9.060,0.046,-0.817,,,,0.5629,-3.5343
9.080,0.055,-0.881,,,,0.3796,-2.8274
9.100,0.061,-0.930,,,,0.1963,-2.0551
9.120,0.063,-0.964,0.1643,,,0.0000,-1.2566
9.140,0.061,-0.980,,,,-0.1963,-0.4320
9.160,0.055,-0.982,,,,-0.3927,0.4058
9.180,0.046,-0.964,,,,-0.5890,1.2305
9.200,0.031,-0.931,,,,-0.7592,2.0420
9.220,0.014,-0.883,,,,-0.9032,2.8013
9.240,-0.005,-0.818,,,,-1.0210,3.5212
9.260,-0.027,-0.741,,,,-1.1257,4.1757
9.280,-0.050,-0.650,,,,-1.2174,4.7386
9.300,-0.075,-0.550,,,,-1.2697,5.1967
9.320,-0.102,-0.441,,,,-1.2828,5.5371
9.340,-0.127,-0.327,,,,-1.2697,5.7596
9.360,-0.152,-0.209,,,,-1.2435,5.8643
9.380,-0.178,-0.091,,,,-1.1912,5.8512
9.400,-0.201,0.027,,,,-1.0865,5.6680
9.420,-0.221,0.140,,,,-0.9425,5.3145
9.440,-0.239,0.240,,,,-0.7854,4.8040
9.460,-0.253,0.333,,,,-0.6283,4.1757
9.480,-0.264,0.410,,,,-0.4581,3.4427
9.500,-0.272,0.471,,,,-0.2618,2.5918
9.520,-0.275,0.515,,,,-0.0524,1.6755
9.540,-0.273,0.539,,,,0.1571,0.6938
9.560,-0.269,0.543,,1.2195,1.2370,0.3534,-0.3142
9.580,-0.259,0.526,,,,0.5498,-1.3221
9.600,-0.247,0.490,,,,0.7330,-2.2907
9.620,-0.229,0.434,,,,0.8901,-3.1678
9.640,-0.210,0.361,,,,1.0210,-3.9532
9.660,-0.188,0.275,,,,1.1257,-4.6208
9.680,-0.165,0.174,,,,1.2174,-5.1705
9.700,-0.140,0.066,,,,1.2828,-5.5632
9.720,-0.113,-0.050,,,,1.3090,-5.7989
9.740,-0.086,-0.168,,,,1.2959,-5.8774
9.760,-0.061,-0.287,,,,1.2566,-5.7989
9.780,-0.036,-0.402,,,,1.1912,-5.6025
9.800,-0.013,-0.512,,,,1.0865,-5.2884
9.820,0.008,-0.616,,,,0.9425,-4.8826
9.840,0.025,-0.708,,,,0.7985,-4.3590
9.860,0.039,-0.792,,,,0.6414,-3.7437
9.880,0.052,-0.859,,,,0.4581,-3.0631
9.900,0.058,-0.914,,,,0.2618,-2.3300
9.920,0.061,-0.953,0.1641,,,0.0654,-1.5577
9.940,0.061,-0.977,,,,-0.1178,-0.7330
9.960,0.057,-0.983,,,,-0.3142,0.1047
