"Time (s) Run #14","Angle, Ch P1 (rad) Run #14","Angle, Ch P2 (rad) Run #14","AngleAmp (rad) Run #14","DrivingFrequency (Hz) Run #14","freq (Hz) Run #14","AngVel (rad/s) Run #14","DriverAngleVel (rad/s) Run #14"
0.000,0.005,-0.020,,,,,
0.020,0.027,-0.137,,,,,
0.040,0.047,-0.254,,,,0.9687,-5.7727
0.060,0.066,-0.369,,,,0.8639,-5.6156
0.080,0.082,-0.481,,,,0.7461,-5.3407
0.100,0.096,-0.584,,,,0.6021,-4.9611
0.120,0.107,-0.680,,,,0.4320,-4.4899
0.140,0.113,-0.765,,,,0.2487,-3.9270
0.160,0.116,-0.839,,,,0.0654,-3.2725
0.180,0.116,-0.897,,,,-0.1309,-2.5525
0.200,0.112,-0.941,,,,-0.3403,-1.7933
0.220,0.102,-0.969,,,,-0.5498,-1.0210
0.240,0.090,-0.982,,,,-0.7461,-0.2225
0.260,0.072,-0.979,,,,-0.9294,0.6021
0.280,0.052,-0.958,,,,-1.0996,1.4268
0.300,0.028,-0.920,,,,-1.2435,2.2253
0.320,0.002,-0.869,,,,-1.3744,2.9452
0.340,-0.027,-0.801,,,,-1.4923,3.5997
0.360,-0.058,-0.724,,,,-1.5839,4.2019
0.380,-0.091,-0.633,,,,-1.6362,4.7517
0.400,-0.124,-0.533,,,,-1.6493,5.2098
0.420,-0.157,-0.423,,,,-1.6362,5.5240
0.440,-0.190,-0.309,,,,-1.5970,5.7334
0.460,-0.221,-0.193,,,,-1.5315,5.8120
0.480,-0.251,-0.074,,,,-1.4268,5.7596
0.500,-0.280,0.039,,,,-1.2828,5.5632
0.520,-0.303,0.149,,,,-1.1126,5.2229
0.540,-0.324,0.251,,,,-0.9294,4.7517
0.560,-0.341,0.341,,,,-0.7330,4.1103
0.580,-0.353,0.418,,,,-0.5105,3.3510
0.600,-0.361,0.476,,,,-0.2749,2.5002
0.620,-0.364,0.518,,,,-0.0393,1.5839
0.640,-0.363,0.540,,,,0.1963,0.6152
0.660,-0.357,0.543,,,,0.4320,-0.3796
0.680,-0.346,0.525,,,,0.6545,-1.3614
0.700,-0.330,0.489,,,,0.8639,-2.2907
0.720,-0.311,0.432,,,,1.0603,-3.1547
0.740,-0.287,0.361,,,,1.2305,-3.9401
0.760,-0.261,0.273,,,,1.3744,-4.5946
0.780,-0.232,0.174,,,,1.4792,-5.1182
0.800,-0.201,0.068,,,,1.5446,-5.4978
0.820,-0.170,-0.047,,,,1.5839,-5.7465
0.840,-0.138,-0.165,,,,1.5839,-5.8381
0.860,-0.105,-0.283,,,,1.5577,-5.7727
0.880,-0.075,-0.397,,,,1.5053,-5.5763
0.900,-0.046,-0.507,,,,1.4268,-5.2622
0.920,-0.017,-0.609,,,,1.3090,-4.8564
0.940,0.008,-0.702,,,,1.1519,-4.3590
0.960,0.028,-0.785,,,,0.9817,-3.7699
0.980,0.047,-0.855,,,,0.7985,-3.1023
1.000,0.061,-0.909,,,,0.6021,-2.3693
1.020,0.071,-0.950,,,,0.3927,-1.6101
1.040,0.077,-0.974,,,,0.1963,-0.8116
1.060,0.079,-0.983,,,,-0.0131,0.0131
1.080,0.077,-0.974,,,,-0.2225,0.8378
1.100,0.069,-0.949,,,,-0.4189,1.6493
1.120,0.060,-0.908,,,,-0.6021,2.4216
1.140,0.046,-0.851,,,,-0.7592,3.1547
1.160,0.028,-0.781,,,,-0.9032,3.8223
1.180,0.009,-0.697,,,,-1.0079,4.4113
1.200,-0.013,-0.603,,,,-1.0996,4.9218
1.220,-0.035,-0.500,,,,-1.1650,5.3276
1.240,-0.060,-0.388,,,,-1.1912,5.6156
1.260,-0.083,-0.273,,,,-1.1912,5.7727
1.280,-0.107,-0.156,,,,-1.1519,5.8250
1.300,-0.130,-0.039,,,,-1.0996,5.7465
1.320,-0.151,0.077,,,,-1.0079,5.5109
1.340,-0.171,0.184,,,,-0.8901,5.1182
1.360,-0.187,0.283,,,,-0.7592,4.5553
1.380,-0.201,0.369,,,,-0.6021,3.8615
1.400,-0.212,0.438,,,,-0.4451,3.0500
1.420,-0.218,0.492,,,,-0.2618,2.1860
1.440,-0.223,0.526,,,,-0.0785,1.2697
1.460,-0.221,0.543,,,,0.1178,0.3011
1.480,-0.218,0.539,,,,0.3142,-0.6938
1.500,-0.209,0.515,,,,0.4843,-1.6755
1.520,-0.198,0.471,,,,0.6414,-2.6049
1.540,-0.184,0.410,,,,0.7723,-3.4558
1.560,-0.167,0.331,,,,0.8901,-4.2019
1.580,-0.148,0.240,,,,0.9817,-4.8171
1.600,-0.127,0.137,,,,1.0472,-5.2753
1.620,-0.105,0.027,,,,1.0865,-5.6025
1.640,-0.083,-0.088,,,,1.0996,-5.7989
1.660,-0.061,-0.207,,,,1.0865,-5.8643
1.680,-0.039,-0.325,,,,1.0341,-5.7727
1.700,-0.019,-0.440,,,,0.9425,-5.5240
1.720,-0.002,-0.548,,,,0.8378,-5.1575
1.740,0.014,-0.647,,,,0.7199,-4.6993
1.760,0.028,-0.737,,,,0.5760,-4.1626
1.780,0.038,-0.815,,,,0.3927,-3.5343
1.800,0.044,-0.880,,,,0.2094,-2.8274
1.820,0.046,-0.928,,,,0.0393,-2.0682
1.840,0.046,-0.963,,,,-0.1440,-1.2828
1.860,0.041,-0.980,,,,-0.3403,-0.4581
1.880,0.031,-0.982,,,,-0.5367,0.3796
1.900,0.019,-0.964,,,,-0.6938,1.2043
1.920,0.003,-0.933,,,,-0.8378,2.0028
1.940,-0.014,-0.884,,,,-0.9817,2.7620
1.960,-0.036,-0.822,,,,-1.0996,3.4819
1.980,-0.060,-0.745,,,,-1.1912,4.1233
2.000,-0.083,-0.655,,,,-1.2566,4.6862
2.020,-0.110,-0.556,,,,-1.2959,5.1444
2.040,-0.137,-0.448,,,,-1.3090,5.4847
2.060,-0.162,-0.335,,,,-1.2828,5.7203
2.080,-0.188,-0.218,,,,-1.2305,5.8381
2.100,-0.212,-0.099,,,,-1.1519,5.8250
2.120,-0.234,0.017,,,,-1.0472,5.6549
2.140,-0.254,0.129,,,,-0.9163,5.3407
2.160,-0.272,0.232,,,,-0.7461,4.8695
2.180,-0.284,0.327,,,,-0.5629,4.2542
2.200,-0.294,0.404,,,,-0.3796,3.5081
2.220,-0.300,0.468,,,,-0.1833,2.6573
2.240,-0.302,0.512,,,,0.0393,1.7410
2.260,-0.298,0.537,,,,0.2618,0.7723
2.280,-0.291,0.543,,1.2195,1.2277,0.4712,-0.2094
2.300,-0.280,0.529,,,,0.6676,-1.2043
2.320,-0.264,0.495,,,,0.8508,-2.1598
2.340,-0.245,0.441,,,,1.0079,-3.0500
2.360,-0.223,0.372,,,,1.1388,-3.8485
2.380,-0.199,0.286,,,,1.2566,-4.5291
2.400,-0.173,0.188,,,,1.3483,-5.0789
2.420,-0.145,0.082,,,,1.4137,-5.4847
2.440,-0.116,-0.033,,,,1.4399,-5.7465
2.460,-0.086,-0.151,,,,1.4399,-5.8381
2.480,-0.058,-0.269,,,,1.4006,-5.7989
2.500,-0.030,-0.383,,,,1.3221,-5.6418
2.520,-0.005,-0.496,,,,1.2174,-5.3538
2.540,0.019,-0.600,,,,1.0865,-4.9480
2.560,0.039,-0.694,,,,0.9425,-4.4375
2.580,0.057,-0.779,,,,0.7723,-3.8485
2.600,0.071,-0.850,,,,0.5760,-3.1678
2.620,0.080,-0.906,,,,0.3665,-2.4347
2.640,0.085,-0.947,,,,0.1571,-1.6624
2.660,0.086,-0.974,0.1965,,,-0.0393,-0.8639
2.680,0.083,-0.982,,,,-0.2356,-0.0393
2.700,0.077,-0.975,,,,-0.4320,0.7985
2.720,0.066,-0.950,,,,-0.6283,1.6101
2.740,0.052,-0.909,,,,-0.8116,2.3824
2.760,0.033,-0.855,,,,-0.9556,3.1023
2.780,0.013,-0.785,,,,-1.0734,3.7961
2.800,-0.009,-0.702,,,,-1.1781,4.4244
2.820,-0.035,-0.606,,,,-1.2697,4.9480
2.840,-0.061,-0.503,,,,-1.3221,5.3407
2.860,-0.088,-0.391,,,,-1.3352,5.6156
