"Time (s) Run #16","Angle, Ch P1 (rad) Run #16","Angle, Ch P2 (rad) Run #16","AngleAmp (rad) Run #16","DrivingFrequency (Hz) Run #16","freq (Hz) Run #16","AngVel (rad/s) Run #16","DriverAngleVel (rad/s) Run #16"
2.260,0.017,-0.229,0.1550,,,0.0916,-0.8247
2.280,0.016,-0.237,,,,-0.1178,0.0524
2.300,0.013,-0.228,,,,-0.3142,0.9294
2.320,0.003,-0.199,,,,-0.4974,1.7671
2.340,-0.008,-0.156,,,,-0.6807,2.5656
2.360,-0.024,-0.097,,,,-0.8378,3.3118
2.380,-0.042,-0.022,,,,-0.9687,4.0055
2.400,-0.063,0.064,,,,-1.0734,4.6077
2.420,-0.085,0.163,,,,-1.1519,5.1051
2.440,-0.110,0.270,,,,-1.2043,5.5109
2.460,-0.134,0.385,,,,-1.2305,5.7858
2.480,-0.159,0.504,,,,-1.2305,5.9298
2.500,-0.184,0.624,,,,-1.1912,5.9298
2.520,-0.207,0.743,,,,-1.1126,5.7858
2.540,-0.228,0.858,,,,-1.0079,5.4847
2.560,-0.248,0.964,,,,-0.8770,5.0135
2.580,-0.264,1.060,,,,-0.7199,4.3982
2.600,-0.276,1.142,,,,-0.5367,3.6652
2.620,-0.286,1.208,,,,-0.3534,2.8143
2.640,-0.291,1.257,,,,-0.1571,1.8719
2.660,-0.292,1.283,,,,0.0393,0.8639
2.680,-0.289,1.291,,1.2500,1.2501,0.2356,-0.1702
2.700,-0.283,1.277,,,,0.4320,-1.1912
2.720,-0.272,1.243,,,,0.6283,-2.1860
2.740,-0.258,1.189,,,,0.8116,-3.1023
2.760,-0.239,1.117,,,,0.9687,-3.9270
2.780,-0.218,1.030,,,,1.0865,-4.6208
2.800,-0.195,0.930,,,,1.1781,-5.1705
2.820,-0.171,0.822,,,,1.2435,-5.5894
2.840,-0.145,0.705,,,,1.2828,-5.8643
2.860,-0.119,0.584,,,,1.2959,-5.9690
2.880,-0.093,0.463,,,,1.2697,-5.9036
2.900,-0.068,0.347,,,,1.2043,-5.6941
2.920,-0.044,0.234,,,,1.0996,-5.3800
2.940,-0.024,0.130,,,,0.9817,-4.9480
2.960,-0.005,0.035,,,,0.8508,-4.3982
2.980,0.011,-0.047,,,,0.7069,-3.7830
3.000,0.024,-0.116,,,,0.5236,-3.0761
3.020,0.033,-0.173,,,,0.3272,-2.3169
3.040,0.036,-0.209,,,,0.1178,-1.5053
3.060,0.038,-0.232,0.1628,,,-0.0916,-0.6545
3.080,0.033,-0.237,,,,-0.3011,0.2094
3.100,0.025,-0.223,,,,-0.5105,1.0734
3.120,0.013,-0.193,,,,-0.6938,1.9111
3.140,-0.003,-0.148,,,,-0.8639,2.7096
3.160,-0.022,-0.083,,,,-1.0079,3.4558
3.180,-0.044,-0.008,,,,-1.1388,4.1103
3.200,-0.068,0.082,,,,-1.2435,4.6862
3.220,-0.094,0.181,,,,-1.3221,5.1836
3.240,-0.121,0.291,,,,-1.3614,5.5632
3.260,-0.149,0.405,,,,-1.3614,5.8250
3.280,-0.176,0.525,,,,-1.3483,5.9429
3.300,-0.203,0.646,,,,-1.2959,5.9167
3.320,-0.229,0.763,,,,-1.2174,5.7334
3.340,-0.251,0.877,,,,-1.0996,5.3931
3.360,-0.273,0.982,,,,-0.9556,4.9087
3.380,-0.291,1.074,,,,-0.7854,4.2804
3.400,-0.305,1.155,,,,-0.5890,3.5212
