"Time (s) Run #10","Angle, Ch P1 (rad) Run #10","Angle, Ch P2 (rad) Run #10","AngleAmp (rad) Run #10","DrivingFrequency (Hz) Run #10","freq (Hz) Run #10","AngVel (rad/s) Run #10","DriverAngleVel (rad/s) Run #10"
0.000,0.003,-0.019,,,,,
0.020,0.019,-0.123,,,,,
0.040,0.031,-0.217,,,,0.5367,-4.5030
0.060,0.041,-0.303,,,,0.3534,-4.0055
0.080,0.046,-0.379,,,,0.1702,-3.4427
0.100,0.047,-0.441,,,,-0.0131,-2.8143
0.120,0.046,-0.492,,,,-0.1963,-2.1337
0.140,0.039,-0.528,,,,-0.3665,-1.4137
0.160,0.030,-0.548,,,,-0.5236,-0.6676
0.180,0.019,-0.554,,,,-0.6807,0.1047
0.200,0.003,-0.545,,,,-0.8247,0.8901
0.220,-0.016,-0.518,,,,-0.9425,1.6624
0.240,-0.035,-0.478,,,,-1.0341,2.3824
0.260,-0.057,-0.423,,,,-1.1257,3.0500
0.280,-0.080,-0.355,,,,-1.1912,3.6783
0.300,-0.105,-0.275,,,,-1.2174,4.2542
0.320,-0.129,-0.184,,,,-1.2043,4.7517
0.340,-0.154,-0.083,,,,-1.1781,5.1313
0.360,-0.176,0.024,,,,-1.1388,5.4062
0.380,-0.199,0.134,,,,-1.0734,5.5763
0.400,-0.220,0.248,,,,-0.9817,5.6156
0.420,-0.239,0.361,,,,-0.8508,5.5109
0.440,-0.254,0.470,,,,-0.7069,5.2884
0.460,-0.267,0.573,,,,-0.5498,4.9742
0.480,-0.276,0.671,,,,-0.3927,4.5422
0.500,-0.283,0.757,,,,-0.2225,3.9794
0.520,-0.286,0.831,,,,-0.0393,3.2987
0.540,-0.284,0.891,,,,0.1440,2.5133
0.560,-0.280,0.933,,,,0.3272,1.6493
0.580,-0.272,0.957,,,,0.4974,0.7592
0.600,-0.259,0.963,,,,0.6545,-0.1440
0.620,-0.245,0.952,,,,0.7985,-1.0472
0.640,-0.228,0.920,,,,0.9294,-1.9504
0.660,-0.207,0.873,,,,1.0472,-2.7882
0.680,-0.185,0.807,,,,1.1257,-3.5343
0.700,-0.162,0.730,,,,1.1781,-4.1757
0.720,-0.138,0.639,,,,1.2043,-4.6862
0.740,-0.113,0.540,,,,1.2043,-5.0920
0.760,-0.090,0.435,,,,1.1781,-5.3669
0.780,-0.066,0.324,,,,1.1257,-5.5371
0.800,-0.044,0.212,,,,1.0472,-5.5894
0.820,-0.024,0.099,,,,0.9425,-5.5109
0.840,-0.006,-0.011,,,,0.8247,-5.3014
0.860,0.009,-0.115,,,,0.6807,-4.9742
0.880,0.022,-0.210,,,,0.5236,-4.5684
0.900,0.030,-0.298,,,,0.3534,-4.0841
0.920,0.036,-0.375,,,,0.1833,-3.5081
0.940,0.038,-0.440,,,,0.0000,-2.8536
0.960,0.036,-0.490,,,,-0.1833,-2.1598
0.980,0.030,-0.526,,,,-0.3534,-1.4399
1.000,0.022,-0.548,,,,-0.5236,-0.7069
1.020,0.009,-0.554,,,,-0.6807,0.0524
1.040,-0.006,-0.547,,,,-0.8116,0.8378
1.060,-0.024,-0.522,,,,-0.9163,1.6101
1.080,-0.042,-0.481,,,,-1.0079,2.3300
1.100,-0.064,-0.427,,,,-1.0996,2.9845
1.120,-0.086,-0.361,,,,-1.1650,3.5997
1.140,-0.112,-0.283,,,,-1.1912,4.1757
1.160,-0.135,-0.193,,,,-1.1912,4.6731
1.180,-0.159,-0.094,,,,-1.1650,5.0658
1.200,-0.182,0.011,,,,-1.1257,5.3538
1.220,-0.204,0.121,,,,-1.0472,5.5240
1.240,-0.225,0.234,,,,-0.9425,5.5763
1.260,-0.242,0.346,,,,-0.8378,5.4978
1.280,-0.258,0.456,,,,-0.7199,5.3014
1.300,-0.272,0.559,,,,-0.5760,5.0004
1.320,-0.281,0.657,,,,-0.3927,4.5946
1.340,-0.287,0.745,,,,-0.2094,4.0710
1.360,-0.289,0.822,,,,-0.0262,3.4165
1.380,-0.289,0.883,,,,0.1571,2.6442
1.400,-0.283,0.928,,,,0.3403,1.7933
1.420,-0.275,0.955,,,,0.5105,0.9032
1.440,-0.262,0.964,,,,0.6676,0.0000
1.460,-0.248,0.955,,,,0.8116,-0.9032
1.480,-0.229,0.928,,,,0.9294,-1.7933
1.500,-0.210,0.883,,,,1.0472,-2.6442
1.520,-0.188,0.822,,,,1.1388,-3.4165
1.540,-0.163,0.745,,,,1.2043,-4.0710
1.560,-0.140,0.657,,,,1.2305,-4.6077
1.580,-0.115,0.559,,,,1.2305,-5.0266
1.600,-0.090,0.454,,,,1.2043,-5.3276
1.620,-0.066,0.344,,,,1.1388,-5.5109
1.640,-0.044,0.232,,,,1.0603,-5.5763
1.660,-0.024,0.119,,,,0.9687,-5.5371
1.680,-0.005,0.009,,,,0.8639,-5.3669
1.700,0.011,-0.097,,,,0.7330,-5.0658
1.720,0.025,-0.195,,,,0.5629,-4.6600
1.740,0.035,-0.284,,,,0.3796,-4.1757
1.760,0.039,-0.363,,,,0.1963,-3.6128
1.780,0.042,-0.430,,,,0.0262,-2.9714
1.800,0.041,-0.482,,,,-0.1440,-2.2907
1.820,0.036,-0.522,,,,-0.3272,-1.5708
1.840,0.028,-0.547,,,,-0.4974,-0.8378
1.860,0.016,-0.554,,,,-0.6545,-0.0785
1.880,0.002,-0.550,,,,-0.7985,0.6938
1.900,-0.016,-0.528,,,,-0.9163,1.4530
1.920,-0.036,-0.490,,,,-1.0210,2.1860
1.940,-0.057,-0.440,,,,-1.0996,2.8536
1.960,-0.080,-0.375,,,,-1.1519,3.4819
1.980,-0.104,-0.300,,,,-1.1912,4.0710
2.000,-0.127,-0.212,,,,-1.2043,4.5815
2.020,-0.152,-0.115,,,,-1.1912,4.9873
2.040,-0.176,-0.011,,,,-1.1519,5.2753
2.060,-0.198,0.097,,,,-1.0865,5.4716
2.080,-0.220,0.209,,,,-1.0079,5.5632
2.100,-0.239,0.322,,,,-0.8901,5.5371
2.120,-0.256,0.432,,,,-0.7461,5.3538
2.140,-0.269,0.539,,,,-0.5890,5.0396
2.160,-0.280,0.635,,,,-0.4189,4.6469
2.180,-0.286,0.724,,,,-0.2487,4.1626
2.200,-0.289,0.804,,,,-0.0785,3.5605
2.220,-0.289,0.869,,,,0.0916,2.8274
2.240,-0.286,0.917,,,,0.2749,2.0028
2.260,-0.278,0.950,,,,0.4581,1.1388
2.280,-0.267,0.963,,1.1905,1.1883,0.6283,0.2356
2.300,-0.253,0.960,,,,0.7723,-0.6807
2.320,-0.236,0.936,,,,0.9032,-1.5839
2.340,-0.217,0.895,,,,1.0210,-2.4609
2.360,-0.195,0.837,,,,1.1126,-3.2594
2.380,-0.171,0.763,,,,1.1781,-3.9532
2.400,-0.148,0.677,,,,1.2174,-4.5160
2.420,-0.123,0.581,,,,1.2435,-4.9611
2.440,-0.097,0.478,,,,1.2305,-5.3014
2.460,-0.072,0.368,,,,1.1781,-5.5240
2.480,-0.050,0.254,,,,1.0996,-5.6025
2.500,-0.028,0.141,,,,0.9948,-5.5502
2.520,-0.009,0.031,,,,0.8770,-5.3800
2.540,0.006,-0.075,,,,0.7330,-5.1182
2.560,0.020,-0.174,,,,0.5890,-4.7517
2.580,0.030,-0.267,,,,0.4320,-4.2804
2.600,0.038,-0.347,,,,0.2618,-3.7306
2.620,0.041,-0.416,0.1618,,,0.0785,-3.1154
2.640,0.041,-0.473,,,,-0.1178,-2.4478
2.660,0.036,-0.515,,,,-0.3011,-1.7279
2.680,0.028,-0.542,,,,-0.4581,-0.9817
2.700,0.017,-0.554,,,,-0.6021,-0.2356
2.720,0.005,-0.551,,,,-0.7461,0.5236
2.740,-0.013,-0.534,,,,-0.8901,1.2828
2.760,-0.031,-0.500,,,,-1.0079,2.0159
2.780,-0.053,-0.452,,,,-1.0865,2.6965
2.800,-0.075,-0.391,,,,-1.1388,3.3249
2.820,-0.099,-0.319,,,,-1.1781,3.9270
2.840,-0.123,-0.234,,,,-1.2043,4.4637
2.860,-0.148,-0.138,,,,-1.2043,4.9087
2.880,-0.171,-0.036,,,,-1.1650,5.2360
2.900,-0.195,0.072,,,,-1.0996,5.4585
2.920,-0.215,0.184,,,,-1.0079,5.5763
2.940,-0.236,0.297,,,,-0.9032,5.5502
2.960,-0.251,0.408,,,,-0.7854,5.4062
2.980,-0.267,0.514,,,,-0.6414,5.1444
3.000,-0.278,0.616,,,,-0.4712,4.7778
3.020,-0.286,0.707,,,,-0.2880,4.3066
3.040,-0.289,0.789,,,,-0.1178,3.7176
3.060,-0.291,0.858,,,,0.0654,3.0107
3.080,-0.287,0.911,,,,0.2487,2.1860
3.100,-0.280,0.946,,,,0.4320,1.2959
3.120,-0.270,0.963,,1.1905,1.1905,0.6021,0.3927
3.140,-0.256,0.961,,,,0.7592,-0.5105
3.160,-0.239,0.942,,,,0.8901,-1.4268
3.180,-0.220,0.905,,,,0.9948,-2.3038
3.200,-0.199,0.848,,,,1.0865,-3.1154
3.220,-0.176,0.779,,,,1.1650,-3.8223
3.240,-0.152,0.694,,,,1.2174,-4.4113
3.260,-0.127,0.600,,,,1.2305,-4.8957
3.280,-0.102,0.498,,,,1.2174,-5.2622
3.300,-0.079,0.388,,,,1.1781,-5.5109
3.320,-0.055,0.275,,,,1.1126,-5.6287
3.340,-0.033,0.162,,,,1.0210,-5.6025
3.360,-0.014,0.049,,,,0.9032,-5.4454
3.380,0.003,-0.058,,,,0.7723,-5.1705
3.400,0.017,-0.159,,,,0.6283,-4.8040
3.420,0.028,-0.251,,,,0.4581,-4.3721
3.440,0.036,-0.335,,,,0.2880,-3.8485
3.460,0.039,-0.407,,,,0.1178,-3.2332
3.480,0.041,-0.465,0.1585,,,-0.0654,-2.5525
3.500,0.038,-0.509,,,,-0.2487,-1.8457
3.520,0.030,-0.539,,,,-0.4320,-1.1126
3.540,0.020,-0.554,,,,-0.5890,-0.3403
3.560,0.006,-0.553,,,,-0.7330,0.4581
3.580,-0.009,-0.536,,,,-0.8639,1.2435
3.600,-0.028,-0.503,,,,-0.9687,1.9766
3.620,-0.049,-0.456,,,,-1.0603,2.6704
3.640,-0.071,-0.396,,,,-1.1388,3.3249
3.660,-0.094,-0.322,,,,-1.1912,3.9270
3.680,-0.119,-0.237,,,,-1.2043,4.4768
3.700,-0.143,-0.143,,,,-1.1912,4.9349
3.720,-0.167,-0.038,,,,-1.1519,5.2884
3.740,-0.190,0.071,,,,-1.0996,5.5240
3.760,-0.210,0.184,,,,-1.0079,5.6287
3.780,-0.231,0.298,,,,-0.9032,5.6156
3.800,-0.247,0.410,,,,-0.7854,5.4585
3.820,-0.262,0.518,,,,-0.6414,5.1967
3.840,-0.273,0.619,,,,-0.4843,4.8171
3.860,-0.281,0.713,,,,-0.3011,4.3066
3.880,-0.286,0.793,,,,-0.1178,3.6783
3.900,-0.286,0.861,,,,0.0654,2.9452
3.920,-0.283,0.913,,,,0.2487,2.1337
3.940,-0.276,0.947,,,,0.4189,1.2435
3.960,-0.265,0.963,,1.1905,1.1921,0.5760,0.3142
3.980,-0.253,0.960,,,,0.7330,-0.6283
4.000,-0.237,0.938,,,,0.8770,-1.5446
4.020,-0.217,0.897,,,,1.0079,-2.4216
4.040,-0.196,0.840,,,,1.0996,-3.2201
4.060,-0.173,0.767,,,,1.1519,-3.9139
4.080,-0.149,0.682,,,,1.1912,-4.4899
4.100,-0.126,0.586,,,,1.2043,-4.9480
4.120,-0.101,0.482,,,,1.1912,-5.3014
4.140,-0.077,0.372,,,,1.1519,-5.5240
4.160,-0.055,0.259,,,,1.0865,-5.6287
4.180,-0.033,0.146,,,,0.9948,-5.6025
4.200,-0.014,0.033,,,,0.8770,-5.4454
4.220,0.002,-0.074,,,,0.7461,-5.1575
4.240,0.016,-0.174,,,,0.6021,-4.7517
4.260,0.027,-0.265,,,,0.4320,-4.2804
4.280,0.033,-0.346,,,,0.2487,-3.7437
4.300,0.036,-0.416,0.1588,,,0.0785,-3.1285
4.320,0.036,-0.473,,,,-0.0916,-2.4478
4.340,0.033,-0.514,,,,-0.2749,-1.7279
4.360,0.025,-0.542,,,,-0.4581,-0.9948
4.380,0.014,-0.554,,,,-0.6152,-0.2225
4.400,3.643E-17,-0.551,,,,-0.7461,0.5760
4.420,-0.016,-0.531,,,,-0.8639,1.3483
4.440,-0.035,-0.496,,,,-0.9817,2.0813
4.460,-0.055,-0.448,,,,-1.0734,2.7882
4.480,-0.079,-0.385,,,,-1.1388,3.4688
4.500,-0.101,-0.308,,,,-1.1781,4.0710
4.520,-0.126,-0.220,,,,-1.1912,4.5815
4.540,-0.149,-0.124,,,,-1.1781,5.0135
4.560,-0.173,-0.019,,,,-1.1257,5.3407
4.580,-0.195,0.093,,,,-1.0603,5.5502
4.600,-0.215,0.204,,,,-0.9817,5.6418
4.620,-0.234,0.319,,,,-0.8770,5.6156
4.640,-0.251,0.432,,,,-0.7461,5.4585
4.660,-0.264,0.539,,,,-0.6021,5.1444
4.680,-0.275,0.639,,,,-0.4451,4.7255
