"Time (s) Run #12","Angle, Ch P1 (rad) Run #12","Angle, Ch P2 (rad) Run #12","AngleAmp (rad) Run #12","DrivingFrequency (Hz) Run #12","freq (Hz) Run #12","AngVel (rad/s) Run #12","DriverAngleVel (rad/s) Run #12"
0.000,-0.005,0.013,,,,,
0.020,-0.027,0.085,,,,,
0.040,-0.049,0.173,,,,-1.1519,4.5684
0.060,-0.072,0.270,,,,-1.1912,5.0789
0.080,-0.097,0.375,,,,-1.2043,5.4716
0.100,-0.121,0.492,,,,-1.1781,5.7596
0.120,-0.145,0.608,,,,-1.1257,5.9167
0.140,-0.167,0.729,,,,-1.0472,5.9167
0.160,-0.187,0.848,,,,-0.9425,5.7596
0.180,-0.204,0.961,,,,-0.8116,5.4193
0.200,-0.220,1.067,,,,-0.6545,4.9611
0.220,-0.231,1.161,,,,-0.4843,4.3851
0.240,-0.239,1.244,,,,-0.3142,3.6783
0.260,-0.243,1.310,,,,-0.1309,2.8536
0.280,-0.245,1.359,,,,0.0654,1.9373
0.300,-0.240,1.389,,,,0.2618,0.9687
0.320,-0.234,1.398,,,,0.4451,-0.0524
0.340,-0.223,1.387,,,,0.6152,-1.0865
0.360,-0.209,1.354,,,,0.7854,-2.0813
0.380,-0.192,1.302,,,,0.9294,-2.9845
0.400,-0.171,1.233,,,,1.0472,-3.7830
0.420,-0.149,1.150,,,,1.1257,-4.4768
0.440,-0.126,1.052,,,,1.1781,-5.0527
0.460,-0.102,0.946,,,,1.2043,-5.4978
0.480,-0.077,0.831,,,,1.2043,-5.7858
0.500,-0.053,0.712,,,,1.1781,-5.9167
0.520,-0.030,0.592,,,,1.1257,-5.8905
0.540,-0.008,0.474,,,,1.0472,-5.7203
0.560,0.013,0.361,,,,0.9294,-5.4193
0.580,0.030,0.256,,,,0.7985,-5.0004
0.600,0.044,0.160,,,,0.6414,-4.4768
0.620,0.057,0.075,,,,0.4712,-3.8615
0.640,0.063,0.005,,,,0.2880,-3.1678
0.660,0.068,-0.052,,,,0.0916,-2.4086
0.680,0.068,-0.093,,,,-0.1047,-1.6101
0.700,0.063,-0.116,,,,-0.3011,-0.7854
0.720,0.055,-0.124,,,,-0.4712,0.0654
0.740,0.044,-0.115,,,,-0.6152,0.9163
0.760,0.030,-0.086,,,,-0.7592,1.7671
0.780,0.014,-0.044,,,,-0.9032,2.5656
0.800,-0.006,0.017,,,,-1.0210,3.3118
0.820,-0.028,0.090,,,,-1.1126,3.9924
0.840,-0.050,0.178,,,,-1.1650,4.5946
